Type,Value,Seed,Macro_F1,Weighted-F1,Accuracy,G-Mean,AUC,Gate_Final_σ(λ)
MemSize,200,123,0.7249912594031535,0.7249912594031536,0.7266666666666667,0.7160141839767489,0.93148,0.5057033896446228
MemSize,200,789,0.7395749904728087,0.7395749904728086,0.74,0.7369069023155047,0.9324133333333333,0.5059981346130371
MemSize,200,2024,0.7339482720025732,0.7339482720025731,0.7366666666666667,0.726777503650052,0.93208,0.5051400065422058
MemSize,200,1001,0.7060146855005979,0.7060146855005979,0.7066666666666667,0.6981770090925503,0.9328533333333334,0.5086663365364075
MemSize,200,45,0.7491595095445911,0.7491595095445912,0.75,0.7433771634502132,0.9404,0.5062116980552673
MemSize,600,123,0.7244004487827276,0.7244004487827276,0.7266666666666667,0.7158815273291032,0.9319600000000001,0.5059646964073181
MemSize,600,789,0.7420239526384426,0.7420239526384426,0.7433333333333333,0.7370655845157439,0.9314800000000001,0.506419837474823
MemSize,600,2024,0.7242617593632857,0.7242617593632856,0.7266666666666667,0.7166287897467334,0.9334133333333333,0.5054482817649841
MemSize,600,1001,0.7044029648709834,0.7044029648709834,0.7066666666666667,0.6966019485438976,0.93196,0.5087676048278809
MemSize,600,45,0.7559896012276964,0.7559896012276964,0.7566666666666667,0.7511636953312534,0.9394666666666666,0.5060325264930725
MemSize,1200,123,0.7247754394648993,0.7247754394648993,0.7266666666666667,0.7160141839767489,0.9316933333333334,0.5054845809936523
MemSize,1200,789,0.7400470752531866,0.7400470752531865,0.74,0.736687812946595,0.9324933333333333,0.5057427287101746
MemSize,1200,2024,0.7299309816794829,0.7299309816794829,0.7333333333333333,0.7226952015594542,0.9333466666666667,0.5056545734405518
MemSize,1200,1001,0.7082332609465182,0.7082332609465183,0.71,0.7007013368929108,0.9321733333333332,0.5086997151374817
MemSize,1200,45,0.76226176330785,0.76226176330785,0.7633333333333333,0.7578391140872174,0.9397733333333335,0.5056272745132446
MemSize,2000,123,0.7305574693720608,0.7305574693720608,0.7333333333333333,0.7212670276974524,0.9308933333333332,0.5057737231254578
MemSize,2000,789,0.7364353048265798,0.73643530482658,0.7366666666666667,0.7332315936389002,0.9309066666666667,0.5065545439720154
MemSize,2000,2024,0.7210349304679492,0.7210349304679492,0.7233333333333334,0.7136632102930265,0.9351599999999999,0.5059476494789124
MemSize,2000,1001,0.7345558312410114,0.7345558312410113,0.7366666666666667,0.7269587366302077,0.9384666666666668,0.5039677619934082
MemSize,2000,45,0.752776249362268,0.7527762493622678,0.7533333333333333,0.7473917637171024,0.9397733333333332,0.5061259269714355
TailWeight,2.0,123,0.7310301791766395,0.7310301791766395,0.7333333333333333,0.721400682306908,0.9304933333333333,0.5058735013008118
TailWeight,2.0,789,0.7363619264488852,0.7363619264488853,0.7366666666666667,0.7327002270781451,0.9306933333333333,0.5067119598388672
TailWeight,2.0,2024,0.7243339602751716,0.7243339602751717,0.7266666666666667,0.7166062970428584,0.93524,0.5058852434158325
TailWeight,2.0,1001,0.7340627998186138,0.7340627998186138,0.7366666666666667,0.7265374329796832,0.9381200000000001,0.5040330290794373
TailWeight,2.0,45,0.7497451366075474,0.7497451366075474,0.75,0.7444664203716891,0.9395733333333333,0.5062115788459778
TailWeight,3.0,123,0.7305574693720608,0.7305574693720608,0.7333333333333333,0.7212670276974524,0.9308933333333332,0.5057737231254578
TailWeight,3.0,789,0.7364353048265798,0.73643530482658,0.7366666666666667,0.7332315936389002,0.9309066666666667,0.5065545439720154
TailWeight,3.0,2024,0.7210349304679492,0.7210349304679492,0.7233333333333334,0.7136632102930265,0.9351599999999999,0.5059476494789124
TailWeight,3.0,1001,0.7345558312410114,0.7345558312410113,0.7366666666666667,0.7269587366302077,0.9384666666666668,0.5039677619934082
TailWeight,3.0,45,0.752776249362268,0.7527762493622678,0.7533333333333333,0.7473917637171024,0.9397733333333332,0.5061259269714355
TailWeight,3.5,123,0.723209850624878,0.7232098506248781,0.7266666666666667,0.7132943704939718,0.9305333333333333,0.5057382583618164
TailWeight,3.5,789,0.7397809209415894,0.7397809209415894,0.74,0.7367825942715884,0.9311066666666665,0.5064805150032043
TailWeight,3.5,2024,0.7209235611461379,0.7209235611461376,0.7233333333333334,0.7136632102930265,0.9352133333333333,0.5059894919395447
TailWeight,3.5,1001,0.7345558312410114,0.7345558312410113,0.7366666666666667,0.7269587366302077,0.9389866666666666,0.5039067268371582
TailWeight,3.5,45,0.752776249362268,0.7527762493622678,0.7533333333333333,0.7473917637171024,0.9396933333333335,0.5060893893241882
TailWeight,4.0,123,0.723209850624878,0.7232098506248781,0.7266666666666667,0.7132943704939718,0.9307599999999999,0.5056952238082886
TailWeight,4.0,789,0.7465200524654305,0.7465200524654306,0.7466666666666667,0.7439605183774098,0.9312133333333333,0.5063810348510742
TailWeight,4.0,2024,0.7221697460807004,0.7221697460807004,0.7266666666666667,0.7141646254812846,0.93124,0.5076481103897095
TailWeight,4.0,1001,0.734198462170771,0.734198462170771,0.7366666666666667,0.7269587366302077,0.9389733333333333,0.5039156079292297
TailWeight,4.0,45,0.752776249362268,0.7527762493622678,0.7533333333333333,0.7473917637171024,0.93976,0.5060693621635437
