Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,1000,LoRA-Vanilla,123,0.6134937514592687,0.6134937514592688,0.65,0.65,0.5628089398346331,0.9232533333333334,224.7317132949829,1.2233223915100098,1965.36767578125,0.88935,0.6476190476190475,0.5057471264367815,0.7272727272727273,0.7360000000000001,0.7884615384615384,0.2758620689655173
SMP2020,1000,LoRA-Vanilla,789,0.6415567644421194,0.6415567644421194,0.67,0.67,0.6034370664807969,0.9152400000000002,215.24044609069824,1.229367733001709,1963.36767578125,0.88935,0.6972477064220184,0.6000000000000001,0.7826086956521738,0.735042735042735,0.7169811320754718,0.31746031746031744
SMP2020,1000,LoRA-Vanilla,2024,0.6106242873768001,0.6106242873768001,0.6466666666666666,0.6466666666666667,0.55593124961519,0.8962,214.61089730262756,1.2127749919891357,1963.36767578125,0.88935,0.6336633663366336,0.5591397849462365,0.7563025210084033,0.7154471544715447,0.761904761904762,0.23728813559322035
SMP2020,1000,LoRA-Vanilla,1001,0.6291902568561883,0.6291902568561883,0.6566666666666666,0.6566666666666666,0.5949750705806581,0.9163333333333333,219.521235704422,1.2286186218261719,1963.36767578125,0.88935,0.6601941747572816,0.5454545454545454,0.7563025210084033,0.7096774193548386,0.7428571428571428,0.36065573770491804
SMP2020,1000,LoRA-Vanilla,45,0.6531866281866282,0.6531866281866282,0.6766666666666666,0.6766666666666666,0.621776346824326,0.9156666666666666,219.06676959991455,1.2284653186798096,1963.36767578125,0.88935,0.6785714285714285,0.5476190476190477,0.6984126984126985,0.7818181818181817,0.8000000000000002,0.41269841269841273
SMP2020,1000,LoRA-Balanced,123,0.6988615102000502,0.6988615102000502,0.7066666666666667,0.7066666666666667,0.6839026960677873,0.9235733333333332,125.63412928581238,1.2518393993377686,1963.3681640625,0.88935,0.6846846846846847,0.5591397849462365,0.7663551401869159,0.8387096774193548,0.8141592920353983,0.5301204819277109
SMP2020,1000,LoRA-Balanced,789,0.721627179129769,0.721627179129769,0.7233333333333334,0.7233333333333333,0.7140586810945301,0.9185600000000002,143.624938249588,1.2267403602600098,1963.3681640625,0.88935,0.6666666666666666,0.6666666666666666,0.8148148148148148,0.8510638297872342,0.7238095238095238,0.6067415730337079
SMP2020,1000,LoRA-Balanced,2024,0.7089252050472048,0.7089252050472048,0.7133333333333334,0.7133333333333333,0.7013107898328726,0.9200133333333333,153.14631938934326,1.2253010272979736,1963.3681640625,0.88935,0.686868686868687,0.5957446808510639,0.7567567567567568,0.836734693877551,0.7567567567567568,0.6206896551724138
SMP2020,1000,LoRA-Balanced,1001,0.7193360221588576,0.7193360221588576,0.72,0.7200000000000001,0.7111591973753741,0.9312,137.97764706611633,1.2405521869659424,1963.3681640625,0.88935,0.6595744680851063,0.5454545454545455,0.7747747747747747,0.8510638297872342,0.7722772277227723,0.712871287128713
SMP2020,1000,LoRA-Balanced,45,0.7109018367591079,0.7109018367591079,0.71,0.71,0.7017392563978122,0.9240533333333333,157.20438241958618,1.2188267707824707,1963.3681640625,0.88935,0.6415094339622641,0.6000000000000001,0.7884615384615384,0.8387096774193548,0.792079207920792,0.6046511627906976
SMP2020,1000,LoRA-Ablation-NoMem,123,0.6857848014831162,0.685784801483116,0.6966666666666667,0.6966666666666668,0.6646849945213101,0.9096133333333333,127.73911643028259,1.2427639961242676,2051.185546875,6.209294,0.6440677966101696,0.5,0.7522935779816514,0.8478260869565217,0.8135593220338982,0.5569620253164557
SMP2020,1000,LoRA-Ablation-NoMem,789,0.7206889516945991,0.7206889516945991,0.72,0.7199999999999999,0.7141782196366409,0.9162,143.38104271888733,1.2451839447021484,2051.5419921875,6.209294,0.6796116504854369,0.6666666666666666,0.7678571428571428,0.8723404255319149,0.7191011235955057,0.6185567010309279
SMP2020,1000,LoRA-Ablation-NoMem,2024,0.7169467487635589,0.716946748763559,0.72,0.7200000000000001,0.7099527587526133,0.9127466666666665,186.56963300704956,1.2413055896759033,2050.412109375,6.209294,0.6862745098039216,0.5979381443298969,0.7927927927927928,0.8333333333333333,0.7476635514018691,0.6436781609195402
SMP2020,1000,LoRA-Ablation-NoMem,1001,0.7171397201509847,0.7171397201509846,0.72,0.7199999999999999,0.705570354425146,0.9099733333333333,163.99044919013977,1.2485361099243164,2049.4345703125,6.209294,0.6355140186915889,0.5434782608695652,0.7894736842105263,0.8602150537634408,0.8000000000000002,0.6741573033707865
SMP2020,1000,LoRA-Ablation-NoMem,45,0.7073535376623615,0.7073535376623614,0.7066666666666667,0.7066666666666667,0.6973349152881025,0.9153466666666664,142.43598628044128,1.255448579788208,2049.810546875,6.209294,0.6138613861386139,0.5981308411214953,0.7962962962962963,0.8510638297872342,0.8041237113402062,0.5806451612903226
SMP2020,1000,LoRA-Ablation-NoHSP,123,0.7088663334960743,0.7088663334960741,0.7166666666666667,0.7166666666666668,0.6951490390575747,0.92388,143.37843322753906,1.518174409866333,1979.46875,1.578374,0.7027027027027027,0.5555555555555556,0.7706422018348624,0.8387096774193548,0.8141592920353983,0.5714285714285713
