Type,Value,Seed,Macro_F1,Weighted-F1,Accuracy,G-Mean,AUC
Temperature,0.05,123,0.7233834491805761,0.7233834491805762,0.7266666666666667,0.7145927995163667,0.9318399999999999
Temperature,0.05,789,0.74288703275665,0.7428870327566502,0.7433333333333333,0.7381178467155319,0.9316
Temperature,0.05,2024,0.7240299539725806,0.7240299539725805,0.7266666666666667,0.7169008938158097,0.9351466666666667
Temperature,0.05,1001,0.7234809418634759,0.7234809418634758,0.7233333333333334,0.7166783597772685,0.9419333333333334
Temperature,0.05,45,0.7559238429119443,0.7559238429119444,0.7566666666666667,0.7507740923287307,0.94012
Temperature,0.1,123,0.7305574693720608,0.7305574693720608,0.7333333333333333,0.7212670276974524,0.9308933333333332
Temperature,0.1,789,0.7364353048265798,0.73643530482658,0.7366666666666667,0.7332315936389002,0.9309066666666667
Temperature,0.1,2024,0.7210349304679492,0.7210349304679492,0.7233333333333334,0.7136632102930265,0.9351599999999999
Temperature,0.1,1001,0.7345558312410114,0.7345558312410113,0.7366666666666667,0.7269587366302077,0.9384666666666668
Temperature,0.1,45,0.752776249362268,0.7527762493622678,0.7533333333333333,0.7473917637171024,0.9397733333333332
Temperature,0.2,123,0.7310301791766395,0.7310301791766395,0.7333333333333333,0.721400682306908,0.9299733333333333
Temperature,0.2,789,0.7463471499710995,0.7463471499710995,0.7466666666666667,0.7437742254878508,0.9312133333333333
Temperature,0.2,2024,0.726362756762957,0.7263627567629569,0.73,0.719610145565723,0.9322933333333333
Temperature,0.2,1001,0.7065845869388436,0.7065845869388436,0.7066666666666667,0.6990450679048618,0.9331333333333333
Temperature,0.2,45,0.7487249244768042,0.748724924476804,0.75,0.7439161840811002,0.9329066666666667
Temperature,0.4,123,0.7213726842090212,0.7213726842090213,0.7233333333333334,0.7121118603587238,0.93004
Temperature,0.4,789,0.7429340418390713,0.7429340418390713,0.7433333333333333,0.7399694626341355,0.9312533333333334
Temperature,0.4,2024,0.7137343730090526,0.7137343730090525,0.7166666666666667,0.7067277138179779,0.9347733333333332
Temperature,0.4,1001,0.7086230304627787,0.7086230304627787,0.71,0.6999996633144838,0.9328266666666666
Temperature,0.4,45,0.7452353316716832,0.7452353316716831,0.7466666666666667,0.7397575915162518,0.9386266666666666
LossWeight,0.05,123,0.7243367686948449,0.724336768694845,0.7266666666666667,0.7147252173559068,0.9301466666666666
LossWeight,0.05,789,0.7363911332905984,0.7363911332905985,0.7366666666666667,0.7327999616819253,0.9310533333333334
LossWeight,0.05,2024,0.7195061949098845,0.7195061949098845,0.7233333333333334,0.7121069324176658,0.9313866666666667
LossWeight,0.05,1001,0.7058407470702099,0.7058407470702099,0.7066666666666667,0.6972598159462385,0.9330933333333333
LossWeight,0.05,45,0.7423571918409911,0.742357191840991,0.7433333333333333,0.7368621288518008,0.9390133333333334
LossWeight,0.1,123,0.7305574693720608,0.7305574693720608,0.7333333333333333,0.7212670276974524,0.9308933333333332
LossWeight,0.1,789,0.7364353048265798,0.73643530482658,0.7366666666666667,0.7332315936389002,0.9309066666666667
LossWeight,0.1,2024,0.7210349304679492,0.7210349304679492,0.7233333333333334,0.7136632102930265,0.9351599999999999
LossWeight,0.1,1001,0.7345558312410114,0.7345558312410113,0.7366666666666667,0.7269587366302077,0.9384666666666668
LossWeight,0.1,45,0.752776249362268,0.7527762493622678,0.7533333333333333,0.7473917637171024,0.9397733333333332
LossWeight,0.2,123,0.7125055786418892,0.7125055786418893,0.7166666666666667,0.7011572049185765,0.9313600000000001
LossWeight,0.2,789,0.7370667529227118,0.737066752922712,0.7366666666666667,0.7335494917509955,0.9316666666666666
LossWeight,0.2,2024,0.731265498151877,0.7312654981518769,0.7333333333333333,0.7241028188302054,0.9358266666666667
LossWeight,0.2,1001,0.7354362680392654,0.7354362680392653,0.7366666666666667,0.7287455755518244,0.9371066666666666
LossWeight,0.2,45,0.756613369365431,0.756613369365431,0.7566666666666667,0.7520267169257041,0.9402666666666666
LossWeight,0.3,123,0.7171889332934738,0.7171889332934739,0.7233333333333334,0.7033922362322924,0.9342400000000001
LossWeight,0.3,789,0.739818573453102,0.739818573453102,0.74,0.7320809988895964,0.93156
LossWeight,0.3,2024,0.7035439179270915,0.7035439179270915,0.7066666666666667,0.6924743365330969,0.9175333333333334
LossWeight,0.3,1001,0.7173030301566538,0.7173030301566538,0.7166666666666667,0.7109952014848671,0.9351733333333333
LossWeight,0.3,45,0.760025426011989,0.760025426011989,0.76,0.7554569210173794,0.9406533333333332
