Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Gate_Final_σ(λ),Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4
SST-5,2300,LoRA-Ours,45,0.49658114438743767,0.49658114438743767,0.505,0.5050000000000001,0.4800561832708236,0.7978984375,0.14299596846103668,200.34469437599182,1.533383846282959,2212.38427734375,6.89678,0.48000000000000004,0.34042553191489355,0.4654088050314466,0.4697986577181208,0.7272727272727272
SST-5,2300,LoRA-Ours,123,0.5347245262601852,0.5347245262601852,0.535,0.5349999999999999,0.5261321042614656,0.81871875,0.14217063784599304,206.8107991218567,1.6134376525878906,2200.38427734375,6.89678,0.5359477124183006,0.46835443037974683,0.45283018867924535,0.4880952380952381,0.7283950617283951
SST-5,2300,LoRA-Ours,789,0.5100738610625433,0.5100738610625433,0.51,0.51,0.4974682203351045,0.8076484374999999,0.1415707767009735,216.87826800346375,1.5911145210266113,2207.38427734375,6.89678,0.5421686746987951,0.4520547945205479,0.36363636363636365,0.5212765957446809,0.6712328767123288
SST-5,2300,LoRA-Ours,2024,0.5199087836955856,0.5199087836955857,0.52,0.5199999999999999,0.5088300632818715,0.8179765625,0.143762469291687,155.57604146003723,1.6951038837432861,2206.63427734375,6.89678,0.5121951219512195,0.41509433962264153,0.4324324324324324,0.5172413793103448,0.7225806451612902
SST-5,2300,LoRA-Ours,1001,0.5281623738860304,0.5281623738860305,0.5325,0.5325,0.5164205672415494,0.7907734375000001,0.1494946926832199,277.33315896987915,1.588644027709961,2337.7099609375,6.89678,0.5217391304347826,0.5212765957446809,0.4462809917355372,0.4606060606060606,0.6909090909090909
SST-5,1150,LoRA-Ours,45,0.45235834763386906,0.45235834763386906,0.4675,0.4675000000000001,0.4319998790132605,0.7321640625000001,0.5850287675857544,157.46783351898193,1.5610246658325195,2263.1806640625,6.89678,0.43055555555555564,0.4025157232704402,0.31645569620253167,0.4057971014492754,0.7064676616915423
SST-5,1150,LoRA-Ours,123,0.5001779407871352,0.5001779407871352,0.5075,0.5075000000000001,0.48431817705179225,0.785390625,0.5790176391601562,153.557776927948,1.6092476844787598,2182.552734375,6.89678,0.49645390070921985,0.4731182795698925,0.35971223021582727,0.45569620253164556,0.7159090909090907
SST-5,1150,LoRA-Ours,789,0.4999610005762275,0.4999610005762274,0.505,0.5050000000000001,0.4866744962210006,0.79234375,0.5805325508117676,152.1865930557251,1.5767557621002197,2085.75634765625,6.89678,0.4444444444444445,0.46153846153846156,0.3829787234042554,0.5,0.7108433734939759
SST-5,1150,LoRA-Ours,2024,0.48953961740054364,0.4895396174005437,0.495,0.495,0.47641802425532714,0.7728671874999999,0.5833920240402222,157.51347875595093,1.6328034400939941,2235.611328125,6.89678,0.3971631205673759,0.49717514124293793,0.41830065359477125,0.425,0.7100591715976332
SST-5,1150,LoRA-Ours,1001,0.4977143723422978,0.4977143723422978,0.515,0.515,0.4763085028588637,0.7692656250000001,0.5872777104377747,156.4781506061554,1.646388292312622,2266.060546875,6.89678,0.3709677419354839,0.54,0.42105263157894735,0.44303797468354433,0.7135135135135136
