Type,Value,Seed,Macro_F1,Weighted-F1,Accuracy,G-Mean,AUC,Gate_Final_σ(λ)
MemSize,200,45,0.4917829345208614,0.49178293452086147,0.5,0.476822238493716,0.7970078125000001,0.14336787164211273
MemSize,200,123,0.5205637408923316,0.5205637408923316,0.5325,0.5013643502546693,0.8086874999999999,0.1419556438922882
MemSize,200,789,0.51965462620151,0.5196546262015102,0.5225,0.5087001934172508,0.8118515625,0.14185404777526855
MemSize,200,2024,0.5389333753108352,0.5389333753108351,0.5425,0.5303529556282818,0.791859375,0.1439390778541565
MemSize,200,1001,0.46782453984321803,0.4678245398432179,0.4725,0.44760134357421705,0.8203906249999999,0.1443568915128708
MemSize,600,45,0.48213274408103945,0.4821327440810394,0.4925,0.46590012490086025,0.785125,0.14275147020816803
MemSize,600,123,0.5053776358700629,0.5053776358700629,0.5075,0.4933156512820751,0.8233515625000001,0.1421966850757599
MemSize,600,789,0.5155686896848133,0.5155686896848133,0.5175,0.5023789727377826,0.808828125,0.14185254275798798
MemSize,600,2024,0.5048835639095072,0.5048835639095072,0.505,0.4961342889903001,0.8026640624999999,0.14362670481204987
MemSize,600,1001,0.5045008345593154,0.5045008345593154,0.515,0.481004580809012,0.8301484374999999,0.14407287538051605
MemSize,1200,45,0.49658114438743767,0.49658114438743767,0.505,0.4800561832708236,0.7978984375,0.14299596846103668
MemSize,1200,123,0.5347245262601852,0.5347245262601852,0.535,0.5261321042614656,0.81871875,0.14217063784599304
MemSize,1200,789,0.5100738610625433,0.5100738610625433,0.51,0.4974682203351045,0.8076484374999999,0.1415707767009735
MemSize,1200,2024,0.5199087836955856,0.5199087836955857,0.52,0.5088300632818715,0.8179765625,0.143762469291687
MemSize,1200,1001,0.5281623738860304,0.5281623738860305,0.5325,0.5164205672415494,0.7907734375000001,0.1494946926832199
MemSize,2000,45,0.49676896108976687,0.49676896108976676,0.505,0.47908428548948134,0.801578125,0.14252106845378876
MemSize,2000,123,0.5366559135431046,0.5366559135431046,0.535,0.5270406964915284,0.8201328125,0.14226089417934418
MemSize,2000,789,0.5232621860587747,0.5232621860587748,0.5325,0.5059256719682124,0.796578125,0.14282239973545074
MemSize,2000,2024,0.4986044608537542,0.4986044608537542,0.4975,0.48720289504832615,0.8078515625,0.14370757341384888
MemSize,2000,1001,0.48838136152164485,0.4883813615216448,0.4975,0.46852853750412465,0.8230078124999999,0.1440703123807907
TailWeight,1.0,45,0.49658114438743767,0.49658114438743767,0.505,0.4800561832708236,0.7978984375,0.14299596846103668
TailWeight,1.0,123,0.5347245262601852,0.5347245262601852,0.535,0.5261321042614656,0.81871875,0.14217063784599304
TailWeight,1.0,789,0.5100738610625433,0.5100738610625433,0.51,0.4974682203351045,0.8076484374999999,0.1415707767009735
TailWeight,1.0,2024,0.5199087836955856,0.5199087836955857,0.52,0.5088300632818715,0.8179765625,0.143762469291687
TailWeight,1.0,1001,0.5281623738860304,0.5281623738860305,0.5325,0.5164205672415494,0.7907734375000001,0.1494946926832199
TailWeight,2.0,45,0.4987705669546917,0.49877056695469163,0.51,0.47912583483517923,0.8060078125000001,0.14322787523269653
TailWeight,2.0,123,0.5248972339227211,0.5248972339227213,0.535,0.4999281043270216,0.81771875,0.1419638991355896
TailWeight,2.0,789,0.5154374838259244,0.5154374838259244,0.5175,0.5031539584021381,0.8304453125,0.14226025342941284
TailWeight,2.0,2024,0.5184169835218485,0.5184169835218485,0.5225,0.508161371080123,0.8090859375000001,0.14355818927288055
TailWeight,2.0,1001,0.5135239516401708,0.5135239516401708,0.515,0.5059433899106272,0.773609375,0.15064328908920288
TailWeight,3.0,45,0.4987202669399168,0.49872026693991683,0.5,0.4891976843765357,0.7993515625,0.14309129118919373
TailWeight,3.0,123,0.5256077226779362,0.5256077226779362,0.5325,0.5047588404377459,0.814875,0.14179806411266327
TailWeight,3.0,789,0.531913375073173,0.5319133750731732,0.535,0.5201291104692464,0.8296171874999999,0.14182569086551666
TailWeight,3.0,2024,0.5379741312130039,0.5379741312130037,0.5425,0.5262002470708423,0.782875,0.1448734849691391
TailWeight,3.0,1001,0.48052852583997063,0.48052852583997063,0.49,0.46593770658440975,0.8103281250000001,0.1444801241159439
TailWeight,4.0,45,0.48090863004267276,0.4809086300426728,0.5,0.4523898893035106,0.7891484375000001,0.1425851434469223
TailWeight,4.0,123,0.5370363899735227,0.5370363899735225,0.5425,0.5199638851784404,0.8198671875000001,0.14191913604736328
TailWeight,4.0,789,0.5224070137299444,0.5224070137299444,0.53,0.5089283613464063,0.8032499999999999,0.14228665828704834
TailWeight,4.0,2024,0.529276862271514,0.5292768622715139,0.535,0.5165607171759293,0.8135468750000001,0.14313681423664093
TailWeight,4.0,1001,0.49978315674620266,0.4997831567462027,0.51,0.48531041473603426,0.8026250000000001,0.14586488902568817
