Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4
SST-5,2300,AHSP-Full,45,0.49658114438743767,0.49658114438743767,0.505,0.5050000000000001,0.4800561832708236,0.7978984375,191.03148865699768,1.4522671699523926,2212.38427734375,6.89678,0.48000000000000004,0.34042553191489355,0.4654088050314466,0.4697986577181208,0.7272727272727272
SST-5,2300,AHSP-Full,123,0.5347245262601852,0.5347245262601852,0.535,0.5349999999999999,0.5261321042614656,0.81871875,197.74811601638794,1.443650245666504,2201.32177734375,6.89678,0.5359477124183006,0.46835443037974683,0.45283018867924535,0.4880952380952381,0.7283950617283951
SST-5,2300,AHSP-Full,789,0.5100738610625433,0.5100738610625433,0.51,0.51,0.4974682203351045,0.8076484374999999,205.15584754943848,1.493342638015747,2214.44677734375,6.89678,0.5421686746987951,0.4520547945205479,0.36363636363636365,0.5212765957446809,0.6712328767123288
SST-5,2300,AHSP-Full,2024,0.5199087836955856,0.5199087836955857,0.52,0.5199999999999999,0.5088300632818715,0.8179765625,152.59420895576477,1.4880967140197754,2208.88427734375,6.89678,0.5121951219512195,0.41509433962264153,0.4324324324324324,0.5172413793103448,0.7225806451612902
SST-5,2300,AHSP-Full,1001,0.5281623738860304,0.5281623738860305,0.5325,0.5325,0.5164205672415494,0.7907734375000001,268.0933976173401,1.46272611618042,2339.1005859375,6.89678,0.5217391304347826,0.5212765957446809,0.4462809917355372,0.4606060606060606,0.6909090909090909
SST-5,2300,AHSP-OnlyMax,45,0.06694560669456068,0.06694560669456068,0.2,0.2,0.0,0.50840625,59.813132762908936,1.43088960647583,2179.8046875,4.537484,0.3347280334728034,0.0,0.0,0.0,0.0
SST-5,2300,AHSP-OnlyMax,123,0.527713891806741,0.527713891806741,0.5325,0.5325,0.5140078597820266,0.8112890625,192.65365147590637,1.4531989097595215,2171.9296875,4.537484,0.5798816568047338,0.410958904109589,0.4217687074829932,0.4942528735632184,0.7317073170731706
SST-5,2300,AHSP-OnlyMax,789,0.5244512637442581,0.524451263744258,0.5325,0.5325,0.5121585602158685,0.7987109374999999,214.82097816467285,1.4488904476165771,2181.1171875,4.537484,0.5333333333333333,0.5057471264367817,0.40624999999999994,0.46835443037974683,0.7085714285714285
SST-5,2300,AHSP-OnlyMax,2024,0.5249681599285249,0.5249681599285249,0.5325,0.5325,0.5101915951934656,0.7935078125,249.96618962287903,1.428696870803833,2180.5546875,4.537484,0.5170068027210885,0.49462365591397855,0.3870967741935483,0.5202312138728324,0.7058823529411765
SST-5,2300,AHSP-OnlyMax,1001,0.506484543171713,0.506484543171713,0.51,0.51,0.4966448030152401,0.7879453125,255.23203897476196,1.4631309509277344,2316.7333984375,4.537484,0.5095541401273885,0.47674418604651164,0.40310077519379844,0.48044692737430167,0.6625766871165645
