Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4
SST-5,2300,LoRA-Vanilla,45,0.0779995855494923,0.0779995855494923,0.1975,0.19749999999999998,0.0,0.49797656250000005,41.2415075302124,1.0807931423187256,2138.77978515625,0.888581,0.0,0.0,0.32548179871520344,0.0,0.06451612903225808
SST-5,2300,LoRA-Vanilla,123,0.4147709050668187,0.4147709050668187,0.4675,0.4675000000000001,0.0,0.8023671875,126.2779757976532,1.1289970874786377,2128.15478515625,0.888581,0.0,0.48514851485148514,0.38554216867469876,0.48000000000000004,0.7231638418079096
SST-5,2300,LoRA-Vanilla,789,0.4401691539712237,0.4401691539712237,0.47,0.47000000000000003,0.39820256946046084,0.81465625,205.92318391799927,1.1278157234191895,2128.15478515625,0.888581,0.21505376344086022,0.47777777777777775,0.3793103448275862,0.4276729559748428,0.7010309278350515
SST-5,2300,LoRA-Vanilla,2024,0.3840126210529486,0.38401262105294864,0.4275,0.42750000000000005,0.0,0.7973437499999999,98.55697679519653,1.1218180656433105,2130.39501953125,0.888581,0.0,0.35200000000000004,0.3277310924369748,0.5268817204301075,0.7134502923976608
SST-5,2300,LoRA-Vanilla,1001,0.4119237721927117,0.41192377219271165,0.4575,0.4575,0.0,0.8103281250000001,115.93689775466919,1.0853729248046875,2262.77685546875,0.888581,0.0,0.45054945054945056,0.39106145251396646,0.5377358490566038,0.6802721088435375
SST-5,2300,LoRA-Balanced,45,0.47545810753938406,0.475458107539384,0.4775,0.47750000000000004,0.4615127449722923,0.7690624999999999,147.35919165611267,1.1282472610473633,2137.1455078125,0.888581,0.4370860927152318,0.3703703703703704,0.38620689655172413,0.4918032786885245,0.6918238993710691
SST-5,2300,LoRA-Balanced,123,0.5081450994605332,0.5081450994605331,0.515,0.5149999999999999,0.48799238951689367,0.81907421875,112.90539288520813,1.1313087940216064,2128.1552734375,0.888581,0.529032258064516,0.3484848484848485,0.4747474747474748,0.44594594594594594,0.7425149700598801
SST-5,2300,LoRA-Balanced,789,0.5021465404671942,0.5021465404671941,0.5125,0.5125,0.48705168369235946,0.8094999999999999,162.60947728157043,1.134521245956421,2128.1552734375,0.888581,0.5948717948717949,0.40322580645161293,0.41891891891891897,0.44311377245508987,0.6506024096385542
SST-5,2300,LoRA-Balanced,2024,0.5282596950633319,0.5282596950633319,0.525,0.525,0.5210748567698574,0.811703125,152.97350573539734,1.0988006591796875,2130.3955078125,0.888581,0.5,0.48275862068965514,0.47398843930635837,0.5088757396449705,0.6756756756756757
SST-5,2300,LoRA-Balanced,1001,0.5084742695073969,0.5084742695073969,0.5125,0.5125,0.4963768678364072,0.8208437500000001,168.66586065292358,1.0975956916809082,2262.77734375,0.888581,0.5604395604395604,0.4230769230769231,0.3941605839416058,0.48520710059171596,0.6794871794871794
SST-5,2300,LoRA-Ablation-NoMem,45,0.4885490725933792,0.4885490725933792,0.4925,0.4925,0.47362043496400325,0.7625781250000001,198.60976362228394,1.1309456825256348,2195.58544921875,6.207756,0.4472049689440994,0.41212121212121217,0.35714285714285715,0.5146198830409356,0.7116564417177915
SST-5,2300,LoRA-Ablation-NoMem,123,0.5136292075650621,0.513629207565062,0.5175,0.5175,0.4992374431981624,0.811375,162.632661819458,1.158660650253296,2191.65771484375,6.207756,0.5131578947368421,0.42038216560509556,0.3835616438356164,0.5193370165745856,0.7317073170731706
SST-5,2300,LoRA-Ablation-NoMem,789,0.48717281878025,0.48717281878025004,0.4925,0.4925,0.4745541472611057,0.80771875,142.9546468257904,1.1922180652618408,2190.65771484375,6.207756,0.5485714285714287,0.41610738255033564,0.36231884057971014,0.45454545454545453,0.654320987654321
SST-5,2300,LoRA-Ablation-NoMem,2024,0.5195765445227811,0.519576544522781,0.5275,0.5275000000000001,0.505175904677613,0.8260234375000002,128.74519777297974,1.1638927459716797,2192.71044921875,6.207756,0.5913978494623655,0.42857142857142855,0.4153846153846154,0.4835164835164835,0.6790123456790124
SST-5,2300,LoRA-Ablation-NoMem,1001,0.5069228220115674,0.5069228220115672,0.515,0.515,0.49243534147295615,0.8042187499999999,149.73490381240845,1.173832893371582,2327.48291015625,6.207756,0.5256410256410255,0.4588235294117647,0.36507936507936506,0.49142857142857144,0.6936416184971099
SST-5,2300,LoRA-Ablation-NoHSP,45,0.4562563840826563,0.4562563840826563,0.47,0.47000000000000003,0.43633071611601154,0.8035390625,136.45528316497803,1.4420135021209717,2148.00244140625,1.577605,0.448087431693989,0.2992125984251968,0.4457831325301205,0.41428571428571426,0.6739130434782609
SST-5,2300,LoRA-Ablation-NoHSP,123,0.5228429112924372,0.5228429112924373,0.53,0.53,0.5107986041173043,0.8129609375000001,194.91393494606018,1.483809232711792,2149.25244140625,1.577605,0.5562913907284769,0.49056603773584906,0.40259740259740256,0.4473684210526316,0.717391304347826
SST-5,2300,LoRA-Ablation-NoHSP,789,0.45675058424365994,0.45675058424365994,0.4875,0.4875,0.41900989182050413,0.823828125,118.49285793304443,1.4581482410430908,2149.25244140625,1.577605,0.5235602094240838,0.4812834224598931,0.3089430894308943,0.27522935779816515,0.6947368421052632
SST-5,2300,LoRA-Ablation-NoHSP,2024,0.5453093962026556,0.5453093962026557,0.55,0.55,0.536437989693862,0.8243359374999999,201.74405336380005,1.4646883010864258,2145.74267578125,1.577605,0.6127167630057804,0.4635761589403974,0.44871794871794873,0.5033112582781457,0.698224852071006
SST-5,2300,LoRA-Ablation-NoHSP,1001,0.4748741433589439,0.474874143358944,0.4775,0.4774999999999999,0.46088381657073385,0.8068125,147.22900080680847,1.4194416999816895,2274.04638671875,1.577605,0.5128205128205128,0.3466666666666667,0.4117647058823529,0.4588235294117647,0.6442953020134228
