Type,Value,Seed,Macro_F1,Weighted-F1,Accuracy,G-Mean,AUC
Temperature,0.05,45,0.4821880504931032,0.4821880504931032,0.4925,0.4671989209665667,0.7800546875000001
Temperature,0.05,123,0.538840292506533,0.538840292506533,0.5375,0.5302347752004354,0.8234765625
Temperature,0.05,789,0.5047850530569173,0.5047850530569175,0.5075,0.49046441062680385,0.8093671875
Temperature,0.05,2024,0.5422014760579625,0.5422014760579624,0.5425,0.5344418596534336,0.8055390625
Temperature,0.05,1001,0.4886884987783576,0.48868849877835757,0.4925,0.4771361848633212,0.8220156249999999
Temperature,0.1,45,0.49111998509939864,0.49111998509939864,0.4975,0.4782281655729433,0.7958359374999999
Temperature,0.1,123,0.5527381878072536,0.5527381878072536,0.555,0.5452522169672375,0.8291718749999999
Temperature,0.1,789,0.5189929877389183,0.5189929877389182,0.5225,0.505700122437532,0.8139140625
Temperature,0.1,2024,0.4870427407361079,0.487042740736108,0.495,0.47107231181890763,0.8166953124999999
Temperature,0.1,1001,0.5237443174833601,0.5237443174833601,0.5325,0.5025320374488048,0.8259531250000001
Temperature,0.3,45,0.4884718620446235,0.48847186204462345,0.5,0.4696101894802756,0.8047109375
Temperature,0.3,123,0.5401797245033361,0.5401797245033361,0.545,0.5243932831128726,0.8172109375
Temperature,0.3,789,0.49787161360028004,0.4978716136002801,0.505,0.4817476408022015,0.828890625
Temperature,0.3,2024,0.535298544929004,0.5352985449290041,0.5425,0.5198503588898329,0.7932109375000002
Temperature,0.3,1001,0.48783371928199515,0.4878337192819952,0.495,0.46527550302460474,0.8219375000000001
Temperature,0.5,45,0.49658114438743767,0.49658114438743767,0.505,0.4800561832708236,0.7978984375
Temperature,0.5,123,0.5347245262601852,0.5347245262601852,0.535,0.5261321042614656,0.81871875
Temperature,0.5,789,0.5100738610625433,0.5100738610625433,0.51,0.4974682203351045,0.8076484374999999
Temperature,0.5,2024,0.5199087836955856,0.5199087836955857,0.52,0.5088300632818715,0.8179765625
Temperature,0.5,1001,0.5281623738860304,0.5281623738860305,0.5325,0.5164205672415494,0.7907734375000001
LossWeight,0.01,45,0.4934972444081005,0.4934972444081005,0.5025,0.48055295089913863,0.7790078125000001
LossWeight,0.01,123,0.5165332485830231,0.5165332485830231,0.525,0.49827921187133584,0.810921875
LossWeight,0.01,789,0.5182829641521121,0.5182829641521121,0.525,0.5023912121340812,0.820640625
LossWeight,0.01,2024,0.5041005256128082,0.5041005256128082,0.51,0.4936471666631851,0.8080546875
LossWeight,0.01,1001,0.48714795994899873,0.48714795994899873,0.49,0.470384901448451,0.8268046874999999
LossWeight,0.05,45,0.4802923622453344,0.48029236224533434,0.4875,0.4616770765040655,0.8041171874999999
LossWeight,0.05,123,0.518039975312514,0.518039975312514,0.5175,0.5083299482953917,0.8142968750000001
LossWeight,0.05,789,0.5179242984829376,0.5179242984829376,0.5275,0.5018571525988728,0.828328125
LossWeight,0.05,2024,0.512758721106373,0.5127587211063731,0.5125,0.5058069032786773,0.8077578124999999
LossWeight,0.05,1001,0.4875931576050407,0.4875931576050407,0.4925,0.4674520676829186,0.827046875
LossWeight,0.1,45,0.4857104893894026,0.48571048938940264,0.4925,0.46269868486896065,0.7897109375
LossWeight,0.1,123,0.526976002258611,0.526976002258611,0.5275,0.5169583538613244,0.8139375000000001
LossWeight,0.1,789,0.5169151521872732,0.5169151521872734,0.525,0.502176237008808,0.8256640624999999
LossWeight,0.1,2024,0.5334253324699578,0.5334253324699578,0.535,0.5249312606358776,0.8138203125000001
LossWeight,0.1,1001,0.4903076835554933,0.49030768355549326,0.4975,0.4757464836941957,0.821671875
LossWeight,0.2,45,0.49658114438743767,0.49658114438743767,0.505,0.4800561832708236,0.7978984375
LossWeight,0.2,123,0.5347245262601852,0.5347245262601852,0.535,0.5261321042614656,0.81871875
LossWeight,0.2,789,0.5100738610625433,0.5100738610625433,0.51,0.4974682203351045,0.8076484374999999
LossWeight,0.2,2024,0.5199087836955856,0.5199087836955857,0.52,0.5088300632818715,0.8179765625
LossWeight,0.2,1001,0.5281623738860304,0.5281623738860305,0.5325,0.5164205672415494,0.7907734375000001
