Type,Value,Seed,Macro_F1,Weighted-F1,Accuracy,G-Mean,AUC,Gate_Final_σ(λ)
MemSize,200,45,0.6775459615781864,0.6775459615781864,0.68,0.6736901897769751,0.8237333333333332,0.4941132366657257
MemSize,200,123,0.7239044652128763,0.7239044652128764,0.7266666666666667,0.721109400830084,0.8286666666666668,0.49152716994285583
MemSize,200,789,0.7172373586641422,0.7172373586641421,0.72,0.7123364146864778,0.8226666666666667,0.49177640676498413
MemSize,200,2024,0.7160429744084983,0.7160429744084983,0.72,0.7107457613993912,0.8426,0.4949294626712799
MemSize,200,1001,0.7165202476828002,0.7165202476828002,0.72,0.7097307714266629,0.8330666666666667,0.49101027846336365
MemSize,600,45,0.6747294372294372,0.6747294372294372,0.6733333333333333,0.669307965931542,0.8336,0.49258914589881897
MemSize,600,123,0.7301587301587301,0.7301587301587301,0.7333333333333333,0.7266967788585955,0.8331333333333334,0.4889582097530365
MemSize,600,789,0.7084612900995529,0.7084612900995529,0.7133333333333334,0.7017642571710879,0.8268666666666666,0.49188217520713806
MemSize,600,2024,0.7171612407176097,0.7171612407176094,0.7266666666666667,0.7074150530432787,0.8398,0.49425798654556274
MemSize,600,1001,0.7111369910282953,0.7111369910282954,0.7133333333333334,0.7060322219910138,0.8191333333333333,0.490686297416687
MemSize,1500,45,0.6805152425354896,0.6805152425354896,0.6866666666666666,0.6723950813597928,0.8210666666666667,0.49088233709335327
MemSize,1500,123,0.7290904342253706,0.7290904342253707,0.7333333333333333,0.724620491031826,0.8325333333333331,0.49316370487213135
MemSize,1500,789,0.731345496808841,0.7313454968088412,0.7333333333333333,0.7286608337584213,0.8190666666666667,0.4907872974872589
MemSize,1500,2024,0.7138112491373362,0.7138112491373361,0.72,0.7066041636107893,0.8431333333333333,0.49468791484832764
MemSize,1500,1001,0.7264371040512425,0.7264371040512425,0.7266666666666667,0.7223789622554675,0.8376666666666667,0.4950130581855774
MemSize,2000,45,0.6902859343410032,0.6902859343410032,0.6933333333333334,0.6858095105850717,0.8305333333333333,0.494441419839859
MemSize,2000,123,0.7152293114684737,0.7152293114684738,0.7266666666666667,0.7025431304598279,0.8410666666666667,0.4938352704048157
MemSize,2000,789,0.7009054020332216,0.7009054020332216,0.7066666666666667,0.6940779311589305,0.8201333333333333,0.4905985891819
MemSize,2000,2024,0.7302570150867366,0.7302570150867365,0.74,0.719938266311967,0.8388666666666666,0.4938201606273651
MemSize,2000,1001,0.7049349485007518,0.7049349485007519,0.72,0.6877092696268312,0.8456,0.4931997060775757
TailWeight,1.0,45,0.6831394063624123,0.6831394063624123,0.68,0.6794228089441179,0.8321999999999999,0.4931491017341614
TailWeight,1.0,123,0.7231237609742283,0.7231237609742283,0.7266666666666667,0.7180813112860165,0.8351333333333333,0.4900147020816803
TailWeight,1.0,789,0.7103747246246463,0.7103747246246463,0.7133333333333334,0.7064973289911368,0.8183333333333334,0.49100545048713684
TailWeight,1.0,2024,0.7184492614721617,0.7184492614721616,0.7266666666666667,0.7100271099877892,0.8443333333333335,0.49488526582717896
TailWeight,1.0,1001,0.7070700399410524,0.7070700399410524,0.7066666666666667,0.7035142999716433,0.8368666666666668,0.49489542841911316
TailWeight,2.0,45,0.6805152425354896,0.6805152425354896,0.6866666666666666,0.6723950813597928,0.8210666666666667,0.49088233709335327
TailWeight,2.0,123,0.7290904342253706,0.7290904342253707,0.7333333333333333,0.724620491031826,0.8325333333333331,0.49316370487213135
TailWeight,2.0,789,0.731345496808841,0.7313454968088412,0.7333333333333333,0.7286608337584213,0.8190666666666667,0.4907872974872589
TailWeight,2.0,2024,0.7138112491373362,0.7138112491373361,0.72,0.7066041636107893,0.8431333333333333,0.49468791484832764
TailWeight,2.0,1001,0.7264371040512425,0.7264371040512425,0.7266666666666667,0.7223789622554675,0.8376666666666667,0.4950130581855774
TailWeight,3.0,45,0.6827916673422291,0.6827916673422291,0.6866666666666666,0.6755183946420524,0.8281999999999999,0.4922838807106018
TailWeight,3.0,123,0.729197831716772,0.729197831716772,0.7333333333333333,0.7243258100351039,0.8370000000000001,0.4936123490333557
TailWeight,3.0,789,0.7243914087522252,0.7243914087522253,0.7266666666666667,0.7207399799658265,0.8259333333333333,0.49197301268577576
TailWeight,3.0,2024,0.7291398022781003,0.7291398022781003,0.7333333333333333,0.72395966524377,0.8513999999999999,0.49187779426574707
TailWeight,3.0,1001,0.7052076744676365,0.7052076744676365,0.7066666666666667,0.7007230623820623,0.8425333333333334,0.49130740761756897
TailWeight,4.0,45,0.6789914618992263,0.6789914618992263,0.68,0.6747461322413993,0.8299333333333333,0.49513110518455505
TailWeight,4.0,123,0.7148102914834716,0.7148102914834716,0.72,0.7079475207678324,0.8433333333333334,0.4921780526638031
TailWeight,4.0,789,0.7098309773081809,0.7098309773081809,0.7133333333333334,0.7052556791052887,0.8146666666666667,0.48809614777565
TailWeight,4.0,2024,0.7153427689673965,0.7153427689673965,0.7133333333333334,0.7125360605530653,0.8395333333333334,0.49054867029190063
TailWeight,4.0,1001,0.7214775323686214,0.7214775323686216,0.72,0.7176880574771988,0.8428000000000001,0.4929218888282776
