Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2
TweetEval,1000,AHSP-Full,45,0.666043937727106,0.666043937727106,0.6666666666666666,0.6666666666666666,0.6614598844419094,0.7838666666666666,123.23559904098511,0.537773847579956,2032.02978515625,6.893704,0.7524752475247525,0.5656565656565656,0.68
TweetEval,1000,AHSP-Full,123,0.7003663003663004,0.7003663003663003,0.7,0.7000000000000001,0.6965270152938889,0.8338000000000001,81.15669965744019,0.5635888576507568,1964.4130859375,6.893704,0.7692307692307692,0.6285714285714286,0.7032967032967035
TweetEval,1000,AHSP-Full,789,0.6835600085841514,0.6835600085841516,0.68,0.68,0.6798038650020998,0.8399333333333333,89.35814118385315,0.5455513000488281,2470.6044921875,6.893704,0.7083333333333334,0.6055045871559633,0.7368421052631577
TweetEval,1000,AHSP-Full,2024,0.6789250353606789,0.6789250353606789,0.68,0.68,0.6741833745722785,0.7994,121.82128882408142,0.550917387008667,2474.3466796875,6.893704,0.712871287128713,0.5714285714285714,0.7524752475247525
TweetEval,1000,AHSP-Full,1001,0.7121806298276886,0.7121806298276886,0.7133333333333334,0.7133333333333334,0.7062407939907366,0.846,86.99677014350891,0.5612752437591553,1923.384765625,6.893704,0.7272727272727272,0.6274509803921569,0.7818181818181817
TweetEval,1000,AHSP-OnlyMax,45,0.6598522117623241,0.6598522117623241,0.6666666666666666,0.6666666666666666,0.648468187786538,0.8065333333333333,86.18590450286865,0.571622371673584,1997.4072265625,4.534408,0.76,0.5168539325842696,0.7027027027027027
TweetEval,1000,AHSP-OnlyMax,123,0.6682503640195909,0.6682503640195908,0.68,0.68,0.6542257230053604,0.8262,85.68909692764282,0.5438597202301025,1930.1337890625,4.534408,0.7889908256880733,0.5176470588235295,0.6981132075471698
TweetEval,1000,AHSP-OnlyMax,789,0.7040732672803504,0.7040732672803504,0.7066666666666667,0.7066666666666667,0.700951088126235,0.8271333333333333,105.5432767868042,0.5418214797973633,2436.974609375,4.534408,0.7663551401869159,0.631578947368421,0.7142857142857142
TweetEval,1000,AHSP-OnlyMax,2024,0.6849704777241009,0.6849704777241009,0.6866666666666666,0.6866666666666666,0.6803227994517106,0.8259333333333334,101.88530445098877,0.5537452697753906,2442.630859375,4.534408,0.7592592592592593,0.6,0.6956521739130435
TweetEval,1000,AHSP-OnlyMax,1001,0.6686108876374363,0.6686108876374364,0.6666666666666666,0.6666666666666666,0.6636710036110339,0.8159333333333333,107.98332357406616,0.5314295291900635,1889.25048828125,4.534408,0.6590909090909091,0.6194690265486726,0.7272727272727272
TweetEval,1000,AHSP-OnlyMean,45,0.6630616887461529,0.6630616887461529,0.6666666666666666,0.6666666666666666,0.6581767862919142,0.8087999999999999,80.02453970909119,0.5393872261047363,1997.6572265625,4.534408,0.7547169811320756,0.574468085106383,0.66
TweetEval,1000,AHSP-OnlyMean,123,0.6725334048496322,0.6725334048496323,0.6733333333333333,0.6733333333333333,0.6692424794099879,0.8190666666666667,74.13932132720947,0.5383396148681641,1932.8603515625,4.534408,0.7378640776699028,0.5858585858585857,0.6938775510204083
TweetEval,1000,AHSP-OnlyMean,789,0.6820053187569917,0.6820053187569918,0.68,0.68,0.6798038650020998,0.7872,125.89279270172119,0.546898603439331,2436.083984375,4.534408,0.7216494845360825,0.6296296296296295,0.6947368421052631
TweetEval,1000,AHSP-OnlyMean,2024,0.6683591746005061,0.6683591746005061,0.6666666666666666,0.6666666666666666,0.6633196689749106,0.8323999999999999,71.67454767227173,0.539306640625,2440.099609375,4.534408,0.7551020408163266,0.5631067961165048,0.686868686868687
TweetEval,1000,AHSP-OnlyMean,1001,0.7008325008325008,0.7008325008325008,0.7066666666666667,0.7066666666666667,0.6940779311589305,0.8439333333333333,79.52910685539246,0.5357034206390381,1891.62548828125,4.534408,0.7818181818181817,0.5934065934065934,0.7272727272727272
TweetEval,1000,AHSP-OnlyAttn,45,0.6756667671590795,0.6756667671590795,0.68,0.68,0.6702531159187423,0.8093333333333333,81.01995897293091,0.5682930946350098,2002.169921875,4.534408,0.7663551401869159,0.5806451612903226,0.68
TweetEval,1000,AHSP-OnlyAttn,123,0.6650798349533918,0.6650798349533918,0.6666666666666666,0.6666666666666666,0.6603854497789253,0.7972,98.25424265861511,0.556816577911377,1938.068359375,4.534408,0.6593406593406594,0.5882352941176471,0.7476635514018691
TweetEval,1000,AHSP-OnlyAttn,789,0.671228413163897,0.6712284131638969,0.6733333333333333,0.6733333333333333,0.6634529776414647,0.8115333333333333,89.05447506904602,0.5329666137695312,2442.9873046875,4.534408,0.7878787878787878,0.5591397849462365,0.6666666666666666
TweetEval,1000,AHSP-OnlyAttn,2024,0.6751503126503126,0.6751503126503126,0.6733333333333333,0.6733333333333333,0.6715150980342554,0.8413333333333334,72.27419376373291,0.5505495071411133,2445.60498046875,4.534408,0.7474747474747474,0.5904761904761904,0.6875
TweetEval,1000,AHSP-OnlyAttn,1001,0.7146911788421222,0.7146911788421223,0.7133333333333334,0.7133333333333334,0.7107457613993912,0.8254666666666667,85.33278059959412,0.5193965435028076,1898.93505859375,4.534408,0.7333333333333334,0.6415094339622641,0.7692307692307692
TweetEval,1000,AHSP-Max+Mean,45,0.6613876063167262,0.6613876063167263,0.66,0.66,0.6572891563729929,0.8024,96.41173458099365,0.5292222499847412,2014.7822265625,5.714056,0.7422680412371133,0.5686274509803922,0.6732673267326733
TweetEval,1000,AHSP-Max+Mean,123,0.6638484055482577,0.6638484055482575,0.66,0.66,0.6539951182195991,0.7855333333333333,121.21684741973877,0.5174493789672852,1953.5556640625,5.714056,0.6352941176470589,0.6115702479338843,0.7446808510638298
TweetEval,1000,AHSP-Max+Mean,789,0.7036352086212476,0.7036352086212477,0.7066666666666667,0.7066666666666667,0.698806128237491,0.8250000000000001,81.7765154838562,0.5203654766082764,2454.208984375,5.714056,0.7889908256880733,0.6262626262626263,0.6956521739130435
TweetEval,1000,AHSP-Max+Mean,2024,0.6630388905637624,0.6630388905637624,0.66,0.66,0.6591909277822674,0.7908666666666667,127.05105400085449,0.5103483200073242,2457.2548828125,5.714056,0.7096774193548386,0.5794392523364487,0.7
TweetEval,1000,AHSP-Max+Mean,1001,0.6937375692092673,0.6937375692092673,0.6933333333333334,0.6933333333333334,0.6894191008102029,0.8374,84.71064281463623,0.5194807052612305,1912.75048828125,5.714056,0.7111111111111111,0.6153846153846153,0.7547169811320756
TweetEval,1000,AHSP-Max+Attn,45,0.6751468181380572,0.6751468181380573,0.6733333333333333,0.6733333333333333,0.6720646196363056,0.7719999999999999,122.74636125564575,0.5462508201599121,2023.90478515625,5.714056,0.7234042553191491,0.5961538461538461,0.7058823529411765
TweetEval,1000,AHSP-Max+Attn,123,0.6783128908128909,0.6783128908128909,0.68,0.68,0.6721708749139079,0.8277333333333333,85.49229431152344,0.5210821628570557,1963.5849609375,5.714056,0.7676767676767676,0.5625000000000001,0.7047619047619048
TweetEval,1000,AHSP-Max+Attn,789,0.6973992427159543,0.6973992427159542,0.7,0.7000000000000001,0.6928802101749273,0.8128666666666667,105.93200039863586,0.5291152000427246,2461.44873046875,5.714056,0.7924528301886793,0.6122448979591836,0.6875
TweetEval,1000,AHSP-Max+Attn,2024,0.6721898330774891,0.672189833077489,0.6733333333333333,0.6733333333333333,0.6692424794099879,0.8124666666666668,120.15496611595154,0.5258374214172363,2465.1123046875,5.714056,0.686868686868687,0.5918367346938774,0.7378640776699028
TweetEval,1000,AHSP-Max+Attn,1001,0.6771675651392632,0.6771675651392633,0.68,0.68,0.6712133652488381,0.8445999999999999,79.84418392181396,0.5246341228485107,1922.857421875,5.714056,0.7547169811320756,0.5625000000000001,0.7142857142857142
TweetEval,1000,AHSP-Mean+Attn,45,0.6437956175002163,0.6437956175002163,0.64,0.64,0.639387434713782,0.777,116.93234419822693,0.5204329490661621,2025.09228515625,5.714056,0.7234042553191491,0.5688073394495413,0.6391752577319586
TweetEval,1000,AHSP-Mean+Attn,123,0.6555695910245439,0.6555695910245439,0.6533333333333333,0.6533333333333333,0.6498224367057891,0.7663333333333333,123.24429845809937,0.5338015556335449,1962.4755859375,5.714056,0.6363636363636364,0.608695652173913,0.7216494845360825
TweetEval,1000,AHSP-Mean+Attn,789,0.664240857284109,0.6642408572841091,0.6666666666666666,0.6666666666666666,0.6572521197381946,0.8220666666666666,88.60994601249695,0.5522124767303467,2465.0498046875,5.714056,0.7722772277227723,0.5473684210526315,0.673076923076923
