Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2
TweetEval,1000,LoRA-Vanilla,45,0.5973402620624144,0.5973402620624144,0.5933333333333334,0.5933333333333334,0.5871025227547078,0.7900666666666667,80.48894762992859,0.4007911682128906,1953.49267578125,0.887043,0.6,0.5528455284552846,0.6391752577319586
TweetEval,1000,LoRA-Vanilla,123,0.6053263009845288,0.6053263009845288,0.6066666666666667,0.6066666666666666,0.5902421681350474,0.8308,98.71529364585876,0.4034855365753174,1882.82861328125,0.887043,0.5316455696202531,0.576,0.7083333333333334
TweetEval,1000,LoRA-Vanilla,789,0.6418587573434232,0.6418587573434232,0.64,0.64,0.6332759566365381,0.8221333333333334,85.09271049499512,0.4127538204193115,2398.37255859375,0.887043,0.6875,0.6115702479338843,0.6265060240963856
TweetEval,1000,LoRA-Vanilla,2024,0.5942652329749104,0.5942652329749103,0.5866666666666667,0.5866666666666668,0.5814785897062846,0.8052666666666667,103.72881293296814,0.42198824882507324,2403.45068359375,0.887043,0.6,0.5161290322580645,0.6666666666666666
TweetEval,1000,LoRA-Vanilla,1001,0.5729935121670106,0.5729935121670106,0.5733333333333334,0.5733333333333334,0.5495688080456668,0.8086000000000001,89.90645217895508,0.4072847366333008,1843.5390625,0.887043,0.5066666666666666,0.5611510791366907,0.6511627906976745
TweetEval,1000,LoRA-Balanced,45,0.6405114792211566,0.6405114792211566,0.6466666666666666,0.6466666666666666,0.6315557418374492,0.8102666666666666,84.06016612052917,0.4189879894256592,1955.4931640625,0.887043,0.7387387387387387,0.5161290322580644,0.6666666666666666
TweetEval,1000,LoRA-Balanced,123,0.6857756435907696,0.6857756435907696,0.6866666666666666,0.6866666666666665,0.6822818384329732,0.818,86.70484900474548,0.4080512523651123,1882.8291015625,0.887043,0.74,0.5918367346938774,0.7254901960784313
TweetEval,1000,LoRA-Balanced,789,0.6905175782295446,0.6905175782295447,0.6933333333333334,0.6933333333333334,0.6864099751685061,0.8314666666666666,85.09658074378967,0.4353601932525635,2398.373046875,0.887043,0.7663551401869159,0.6041666666666666,0.7010309278350516
TweetEval,1000,LoRA-Balanced,2024,0.6745989304812835,0.6745989304812834,0.6733333333333333,0.6733333333333333,0.6683780474489216,0.8184,82.66232919692993,0.4177069664001465,2403.451171875,0.887043,0.7647058823529411,0.6000000000000001,0.6590909090909091
TweetEval,1000,LoRA-Balanced,1001,0.6822731841877644,0.6822731841877644,0.68,0.68,0.6785899269459201,0.8050666666666667,97.82207560539246,0.41759324073791504,1843.53955078125,0.887043,0.7216494845360825,0.5904761904761904,0.7346938775510204
TweetEval,1000,LoRA-Ablation-NoMem,45,0.649375807145932,0.6493758071459319,0.66,0.66,0.6344308455451079,0.8006000000000001,77.65888953208923,0.45099759101867676,2020.14697265625,6.20468,0.7524752475247525,0.5,0.6956521739130435
TweetEval,1000,LoRA-Ablation-NoMem,123,0.6941556941556941,0.6941556941556941,0.7,0.6999999999999998,0.6875908419906638,0.8322666666666666,67.93027591705322,0.4344651699066162,1948.5927734375,6.20468,0.7747747747747747,0.5934065934065934,0.7142857142857142
TweetEval,1000,LoRA-Ablation-NoMem,789,0.6788888888888889,0.6788888888888889,0.68,0.68,0.6764287978928131,0.8331333333333334,75.44539403915405,0.42746901512145996,2460.71728515625,6.20468,0.7500000000000001,0.62,0.6666666666666666
TweetEval,1000,LoRA-Ablation-NoMem,2024,0.6517003473425912,0.6517003473425912,0.6466666666666666,0.6466666666666666,0.645755379653496,0.8051333333333334,87.10733270645142,0.44068050384521484,2464.76416015625,6.20468,0.6741573033707865,0.5862068965517241,0.6947368421052631
TweetEval,1000,LoRA-Ablation-NoMem,1001,0.6941234739845233,0.6941234739845233,0.6933333333333334,0.6933333333333334,0.6885202482905264,0.8265333333333332,81.6694188117981,0.43503665924072266,1911.611328125,6.20468,0.6818181818181819,0.6238532110091743,0.7766990291262137
TweetEval,1000,LoRA-Ablation-NoHSP,45,0.6411927877947295,0.6411927877947295,0.6466666666666666,0.6466666666666666,0.6313952448186354,0.7987333333333332,104.19297242164612,0.5251247882843018,1966.00537109375,1.576067,0.7378640776699028,0.5000000000000001,0.6857142857142857
TweetEval,1000,LoRA-Ablation-NoHSP,123,0.6743043884220355,0.6743043884220354,0.6733333333333333,0.6733333333333332,0.6697600685408264,0.8301999999999999,117.19068646430969,0.5007054805755615,1894.20849609375,1.576067,0.7142857142857142,0.5686274509803922,0.74
TweetEval,1000,LoRA-Ablation-NoHSP,789,0.7164531182908592,0.7164531182908592,0.72,0.7200000000000001,0.7114418889368219,0.8374666666666667,90.0394458770752,0.5168986320495605,2406.47119140625,1.576067,0.7927927927927928,0.6391752577319586,0.717391304347826
TweetEval,1000,LoRA-Ablation-NoHSP,2024,0.6438247863247863,0.6438247863247863,0.6466666666666666,0.6466666666666666,0.6313952448186354,0.8224,86.06473183631897,0.5137934684753418,2410.86181640625,1.576067,0.76,0.4791666666666667,0.6923076923076923
TweetEval,1000,LoRA-Ablation-NoHSP,1001,0.6755645061635622,0.6755645061635622,0.6733333333333333,0.6733333333333332,0.6712133652488381,0.8107333333333333,98.15734100341797,0.5246977806091309,1855.2314453125,1.576067,0.7578947368421052,0.5825242718446602,0.6862745098039216
TweetEval,1000,LoRA-Ours,45,0.666043937727106,0.666043937727106,0.6666666666666666,0.6666666666666666,0.6614598844419094,0.7838666666666666,119.26054048538208,0.5334742069244385,2033.21728515625,6.893704,0.7524752475247525,0.5656565656565656,0.68
