Type,Value,Seed,Macro_F1,Weighted-F1,Accuracy,G-Mean,AUC
Temperature,0.1,45,0.6646620847651775,0.6646620847651776,0.6666666666666666,0.6606055049267613,0.8278
Temperature,0.1,123,0.7231330019460304,0.7231330019460306,0.7266666666666667,0.7185309553053846,0.8359333333333332
Temperature,0.1,789,0.706053037736206,0.7060530377362061,0.7133333333333334,0.6978656074128591,0.8240000000000002
Temperature,0.1,2024,0.7250765598335555,0.7250765598335555,0.7266666666666667,0.7219033999308845,0.8403333333333335
Temperature,0.1,1001,0.7132478632478633,0.7132478632478633,0.7266666666666667,0.6979751005751009,0.8447333333333334
Temperature,0.3,45,0.678103659422546,0.678103659422546,0.68,0.6731609749560526,0.8336666666666667
Temperature,0.3,123,0.7177509862774425,0.7177509862774425,0.72,0.7152464633568059,0.8346
Temperature,0.3,789,0.7066499983331666,0.7066499983331667,0.7066666666666667,0.7038481938518485,0.8280666666666666
Temperature,0.3,2024,0.7212210989890901,0.7212210989890903,0.72,0.7186703856365634,0.8330666666666667
Temperature,0.3,1001,0.7001174408000782,0.7001174408000782,0.7066666666666667,0.6916894816751288,0.8374
Temperature,0.5,45,0.6773831505014302,0.6773831505014302,0.6733333333333333,0.6728666068168225,0.8303333333333334
Temperature,0.5,123,0.7019607843137255,0.7019607843137255,0.7066666666666667,0.6970542880276445,0.8344
Temperature,0.5,789,0.7076177280649413,0.7076177280649413,0.7133333333333334,0.7011789656091695,0.8263333333333334
Temperature,0.5,2024,0.7303985194456909,0.7303985194456909,0.7333333333333333,0.7255334955561329,0.8492666666666667
Temperature,0.5,1001,0.7167874396135266,0.7167874396135266,0.72,0.7097307714266629,0.8376
Temperature,0.7,45,0.6816747181964574,0.6816747181964573,0.68,0.6775110858150726,0.836
Temperature,0.7,123,0.6950294611519966,0.6950294611519967,0.7,0.6894134902575385,0.8327999999999999
Temperature,0.7,789,0.7157190635451505,0.7157190635451506,0.72,0.7101751865530808,0.8306
Temperature,0.7,2024,0.7233063208641307,0.7233063208641306,0.7266666666666667,0.7185567798196791,0.8487333333333332
Temperature,0.7,1001,0.7171929824561403,0.7171929824561404,0.72,0.7132706343315756,0.8411333333333332
LossWeight,0.01,45,0.6941328950708835,0.6941328950708836,0.6933333333333334,0.6906735703574588,0.8365333333333332
LossWeight,0.01,123,0.7152869760574342,0.7152869760574343,0.7266666666666667,0.7025431304598279,0.8394666666666667
LossWeight,0.01,789,0.7082577475434618,0.7082577475434618,0.7133333333333334,0.7025431304598279,0.822
LossWeight,0.01,2024,0.717375303421815,0.7173753034218151,0.7266666666666667,0.7074150530432787,0.8406666666666668
LossWeight,0.01,1001,0.704838143388807,0.704838143388807,0.7066666666666667,0.7007230623820623,0.8432666666666667
LossWeight,0.03,45,0.6839581350328316,0.6839581350328315,0.68,0.6794228089441179,0.8343333333333334
LossWeight,0.03,123,0.7166609537251739,0.716660953725174,0.72,0.7132706343315756,0.8327333333333332
LossWeight,0.03,789,0.6977991452991453,0.6977991452991453,0.7,0.6938785980258664,0.8248000000000001
LossWeight,0.03,2024,0.7212111304853241,0.721211130485324,0.7266666666666667,0.7149179164739435,0.8423999999999999
LossWeight,0.03,1001,0.7073192239858906,0.7073192239858906,0.72,0.6923910605522859,0.8458666666666667
LossWeight,0.06,45,0.6805152425354896,0.6805152425354896,0.6866666666666666,0.6723950813597928,0.8210666666666667
LossWeight,0.06,123,0.7290904342253706,0.7290904342253707,0.7333333333333333,0.724620491031826,0.8325333333333331
LossWeight,0.06,789,0.731345496808841,0.7313454968088412,0.7333333333333333,0.7286608337584213,0.8190666666666667
LossWeight,0.06,2024,0.7138112491373362,0.7138112491373361,0.72,0.7066041636107893,0.8431333333333333
LossWeight,0.06,1001,0.7264371040512425,0.7264371040512425,0.7266666666666667,0.7223789622554675,0.8376666666666667
LossWeight,0.1,45,0.6897119985868901,0.6897119985868901,0.6866666666666666,0.6847191915594482,0.8259333333333333
LossWeight,0.1,123,0.7239436865263121,0.7239436865263121,0.7266666666666667,0.721109400830084,0.8307333333333334
LossWeight,0.1,789,0.7096165222535409,0.7096165222535408,0.7133333333333334,0.7043538166392413,0.822
LossWeight,0.1,2024,0.7222362452706416,0.7222362452706415,0.7333333333333333,0.710587360288418,0.8404666666666666
LossWeight,0.1,1001,0.7072621641249093,0.7072621641249093,0.7133333333333334,0.7004459743100815,0.8424666666666667
