Dataset,Model,Method,Macro-F1,Accuracy,Inference_Time_ms,Peak_Memory_MB,Params_M,Protocol
SMP2020,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 3-Shot (No CoT),0.5459385239061497,0.5733333333333334,112.3676872253418,5815.4814453125,4540.60032,balanced-held-out-test
SMP2020,Qwen2.5-7B-Instruct,Balanced 3-Shot (No CoT),0.5089670957411225,0.5333333333333333,86.57968203226724,5577.5224609375,4352.972288,balanced-held-out-test
SST-5,Qwen2.5-7B-Instruct,Balanced 3-Shot (No CoT),0.5594328469633914,0.575,71.16840243339539,5524.41455078125,4352.972288,balanced-held-out-test
SST-5,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 3-Shot (No CoT),0.446999279245354,0.47,89.4194483757019,5699.9189453125,4540.60032,balanced-held-out-test
TweetEval,Qwen2.5-7B-Instruct,Balanced 3-Shot (No CoT),0.6903413217138707,0.6866666666666666,68.2039244969686,5502.27392578125,4352.972288,balanced-held-out-test
TweetEval,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 3-Shot (No CoT),0.5222935442737038,0.6133333333333333,80.2086051305135,5667.46337890625,4540.60032,balanced-held-out-test
SMP2020,Qwen2.5-7B-Instruct,Balanced 5-Shot (No CoT),0.4864116103203555,0.5266666666666666,109.44561640421549,5646.732421875,4352.972288,balanced-held-out-test
SMP2020,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 5-Shot (No CoT),0.5540828185032046,0.5833333333333334,143.7121645609538,5924.685546875,4540.60032,balanced-held-out-test
SST-5,Qwen2.5-7B-Instruct,Balanced 5-Shot (No CoT),0.4983400930549179,0.5275,88.83225917816162,5564.97998046875,4352.972288,balanced-held-out-test
TweetEval,Qwen2.5-7B-Instruct,Balanced 5-Shot (No CoT),0.6901649621640492,0.6933333333333334,79.25339221954346,5535.09716796875,4352.972288,balanced-held-out-test
SST-5,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 5-Shot (No CoT),0.3593139429518076,0.395,105.72379112243652,5757.15234375,4540.60032,balanced-held-out-test
TweetEval,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Balanced 5-Shot (No CoT),0.5849147492292653,0.6333333333333333,91.23054186503092,5713.5146484375,4540.60032,balanced-held-out-test
SMP2020,Qwen2.5-7B-Instruct,Balanced 3-Shot CoT,0.6343660595923262,0.6366666666666667,1255.1992837587993,5590.23486328125,4352.972288,balanced-held-out-test
SST-5,Qwen2.5-7B-Instruct,Balanced 3-Shot CoT,0.4880392271280122,0.5075,1449.9662959575653,5536.8173828125,4352.972288,balanced-held-out-test
TweetEval,Qwen2.5-7B-Instruct,Balanced 3-Shot CoT,0.7357112705783031,0.74,1180.4336722691853,5516.115234375,4352.972288,balanced-held-out-test
SMP2020,Qwen2.5-7B-Instruct,Balanced 5-Shot CoT,0.6263735656348516,0.6366666666666667,1278.529666264852,5667.43798828125,4352.972288,balanced-held-out-test
SST-5,Qwen2.5-7B-Instruct,Balanced 5-Shot CoT,0.4819326663401367,0.5025,1541.3756269216535,5577.49462890625,4352.972288,balanced-held-out-test
TweetEval,Qwen2.5-7B-Instruct,Balanced 5-Shot CoT,0.7265894236482472,0.7333333333333333,1189.5970630645752,5548.12060546875,4352.972288,balanced-held-out-test
SMP2020,Meta-Llama-3.1-8B-Instruct-bnb-4bit,Zero-Shot (No CoT),0.4377062620733506,0.4533333333333333,74.10527229309082,5619.931640625,4540.60032,balanced-held-out-test
SMP2020,Qwen2.5-7B-Instruct,Zero-Shot (No CoT),0.5750812622800913,0.5933333333333334,58.86237462361654,5470.8603515625,4352.972288,balanced-held-out-test
SMP2020,Qwen2.5-7B-Instruct,Zero-Shot CoT,0.6423630531157413,0.6433333333333333,1586.8132940928142,5475.4248046875,4352.972288,balanced-held-out-test
SST-5,Qwen2.5-7B-Instruct,Zero-Shot (No CoT),0.5337290861420455,0.5375,57.46818006038666,5460.6689453125,4352.972288,balanced-held-out-test
