Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5,Eval-Split,SweepSmoothing
SMP2020,1000,LoRA-Adv,45,0.725509315124523,0.7255093151245228,0.7233333333333334,0.7233333333333333,0.7190652100737441,0.93172,133.00616455078125,0.6567642688751221,3547.1455078125,0.88935,0.6666666666666666,0.6296296296296297,0.7102803738317757,0.8444444444444444,0.803921568627451,0.6981132075471698,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Adv,123,0.6708864182975095,0.6708864182975095,0.67,0.67,0.6600838046701181,0.9095866666666667,154.78678941726685,0.6359994411468506,3547.1455078125,0.88935,0.6238532110091743,0.5,0.7524752475247525,0.8387096774193549,0.7102803738317757,0.6,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Adv,789,0.6695556619984918,0.6695556619984919,0.6666666666666666,0.6666666666666666,0.66132680678907,0.9114800000000001,131.5604064464569,0.6325247287750244,3547.1455078125,0.88935,0.6382978723404256,0.5504587155963303,0.76,0.8210526315789474,0.693069306930693,0.5544554455445545,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Adv,1001,0.6714740732302196,0.6714740732302196,0.67,0.6699999999999999,0.6620261250611305,0.9198266666666667,141.50359725952148,0.6750657558441162,3547.1455078125,0.88935,0.5684210526315789,0.5436893203883495,0.7326732673267327,0.8314606741573034,0.7387387387387387,0.6138613861386139,smp1000_smoothing_sweep,0.1
SMP2020,1000,LoRA-Adv,2024,0.7178827931052676,0.7178827931052676,0.7166666666666667,0.7166666666666667,0.710784373700282,0.9140133333333332,166.05237007141113,0.6649096012115479,3547.1455078125,0.88935,0.6138613861386139,0.6153846153846154,0.7766990291262136,0.8478260869565217,0.8076923076923077,0.6458333333333334,smp1000_smoothing_sweep,0.1
SMP2020,2000,LoRA-Adv,45,0.7216970367377366,0.7216970367377366,0.72,0.7199999999999999,0.7134305645768455,0.9301066666666666,135.47949409484863,0.6439957618713379,3547.08251953125,0.88935,0.6444444444444445,0.6666666666666666,0.7450980392156863,0.8539325842696629,0.7884615384615384,0.631578947368421,smp2000_sharedcheck,
SMP2020,2000,LoRA-Adv,123,0.6686267443798934,0.6686267443798936,0.67,0.67,0.6560801882910093,0.9138799999999999,150.74196004867554,0.6443948745727539,3547.08251953125,0.88935,0.6422018348623854,0.5233644859813084,0.7428571428571429,0.8085106382978723,0.7647058823529411,0.5301204819277109,smp2000_sharedcheck,
SMP2020,2000,LoRA-Adv,789,0.7217977336257948,0.7217977336257948,0.72,0.7200000000000001,0.7127605437240205,0.9278933333333333,127.4855215549469,0.6470370292663574,3547.08251953125,0.88935,0.627906976744186,0.6213592233009708,0.7920792079207921,0.8666666666666667,0.7619047619047619,0.6608695652173913,smp2000_sharedcheck,
SMP2020,2000,LoRA-Adv,1001,0.7092650644374783,0.7092650644374783,0.7033333333333334,0.7033333333333333,0.6976305402341082,0.9302533333333334,128.25082778930664,0.6338226795196533,3547.08251953125,0.88935,0.6,0.603448275862069,0.7333333333333333,0.8636363636363636,0.8,0.6551724137931034,smp2000_sharedcheck,
SMP2020,2000,LoRA-Adv,2024,0.7138484452154525,0.7138484452154525,0.7166666666666667,0.7166666666666667,0.7066762574947132,0.9179866666666666,148.14508175849915,0.6226441860198975,3547.08251953125,0.88935,0.6236559139784946,0.5869565217391305,0.7428571428571429,0.8210526315789474,0.8113207547169812,0.6972477064220184,smp2000_sharedcheck,
