Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,Eval-Split
SST-5,1150,LoRA-Adv,45,0.4269790249565991,0.4269790249565992,0.435,0.43499999999999994,0.4019525470978973,0.762421875,107.56712055206299,0.7966315746307373,4224.24462890625,0.888581,0.3548387096774194,0.29931972789115646,0.32748538011695905,0.455026455026455,0.6982248520710059,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Adv,123,0.5016912946014496,0.5016912946014496,0.505,0.5050000000000001,0.4938652604729358,0.8059609375000001,120.55220603942871,0.8075222969055176,3811.80810546875,0.888581,0.5211267605633803,0.4931506849315068,0.43209876543209874,0.42424242424242425,0.6378378378378379,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Adv,789,0.42168675345111223,0.42168675345111223,0.43,0.43,0.40165943858215014,0.7729296875000001,115.59671425819397,0.8305718898773193,3867.05810546875,0.888581,0.4,0.3625,0.3048780487804878,0.36363636363636365,0.6774193548387096,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Adv,1001,0.46084120577520904,0.46084120577520904,0.4725,0.4725,0.4392347021626788,0.764859375,164.87343049049377,0.834306001663208,3680.14892578125,0.888581,0.3185840707964602,0.3888888888888889,0.44155844155844154,0.4659090909090909,0.6892655367231638,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Adv,2024,0.46628570129829716,0.4662857012982971,0.465,0.465,0.45877643540736734,0.7692734375000001,128.25772953033447,0.9343702793121338,3445.7392578125,0.888581,0.47244094488188976,0.4581005586592179,0.41025641025641024,0.4067796610169492,0.5838509316770186,sst5_1150_s5a_rerun
SST-5,2300,LoRA-Adv,45,0.06680584551148225,0.06680584551148225,0.2,0.2,0.0,0.4893203125,37.17287850379944,0.8482973575592041,4219.99462890625,0.888581,0.0,0.0,0.33402922755741127,0.0,0.0,bestparams_rerun
SST-5,2300,LoRA-Adv,123,0.06666666666666667,0.06666666666666667,0.2,0.2,0.0,0.5519882812500001,34.062432050704956,0.8479568958282471,3812.05810546875,0.888581,0.0,0.0,0.0,0.3333333333333333,0.0,bestparams_rerun
SST-5,2300,LoRA-Adv,789,0.4757672255701316,0.4757672255701317,0.48,0.48,0.4655593680562054,0.7947656249999999,161.51935696601868,1.0429959297180176,3790.05810546875,0.888581,0.5222929936305732,0.4367816091954023,0.3458646616541353,0.4678362573099415,0.6060606060606061,bestparams_rerun
SST-5,2300,LoRA-Adv,1001,0.47123777491396607,0.47123777491396607,0.48,0.48,0.4553974612410169,0.779828125,228.50518560409546,0.87034010887146,3866.18310546875,0.888581,0.45714285714285713,0.35802469135802467,0.4662576687116564,0.37583892617449666,0.6989247311827957,bestparams_rerun
SST-5,2300,LoRA-Adv,2024,0.47173667609772174,0.47173667609772174,0.4775,0.4774999999999999,0.45614618960997527,0.8285390625,104.99031591415405,0.8212547302246094,4221.65087890625,0.888581,0.5988700564971752,0.43312101910828027,0.3230769230769231,0.45685279187817257,0.5467625899280576,bestparams_rerun
