Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,Eval-Split
SST-5,1150,DoRA-Balanced,45,0.46526303740478675,0.46526303740478675,0.4725,0.4725,0.4474108999810058,0.7687578125,118.53309202194214,1.2437267303466797,2970.265625,0.916229,0.5308641975308642,0.3087248322147651,0.4049079754601227,0.4,0.6818181818181818,sst5_1150_s5a_rerun
SST-5,1150,DoRA-Balanced,123,0.4660454586302298,0.4660454586302298,0.48,0.48,0.4436268903124647,0.8299140625,89.62103581428528,1.268226146697998,2674.966796875,0.916229,0.5594405594405595,0.43902439024390244,0.3262411347517731,0.33557046979865773,0.6699507389162561,sst5_1150_s5a_rerun
SST-5,1150,DoRA-Balanced,789,0.4426498874715222,0.4426498874715222,0.455,0.45499999999999996,0.42315931426543674,0.7646953125,105.29761362075806,1.297677993774414,2733.841796875,0.916229,0.4,0.4634146341463415,0.36809815950920244,0.3184713375796178,0.6632653061224489,sst5_1150_s5a_rerun
SST-5,1150,DoRA-Balanced,1001,0.4477028798213166,0.4477028798213166,0.46,0.45999999999999996,0.4261876244859518,0.762078125,126.57538843154907,1.3090221881866455,2618.12109375,0.916229,0.32432432432432434,0.45595854922279794,0.3815789473684211,0.40236686390532544,0.6742857142857143,sst5_1150_s5a_rerun
SST-5,1150,DoRA-Balanced,2024,0.45159771567822354,0.45159771567822354,0.4675,0.46749999999999997,0.4277920329324047,0.777640625,111.72110724449158,1.4705750942230225,2445.22216796875,0.916229,0.3709677419354839,0.45226130653266333,0.3125,0.43373493975903615,0.6885245901639344,sst5_1150_s5a_rerun
SST-5,1150,Full-FineTuning,45,0.4122739236491359,0.41227392364913584,0.445,0.445,0.35684521577140466,0.8042343750000001,60.319977045059204,0.5798203945159912,3710.16796875,124.649477,0.5167464114832536,0.14814814814814814,0.30158730158730157,0.45161290322580644,0.6432748538011696,sst5_1150_s5a_rerun
SST-5,1150,Full-FineTuning,123,0.45378424108952303,0.45378424108952303,0.465,0.465,0.4296128142476333,0.7753984375,73.24982833862305,0.5396068096160889,3443.8798828125,124.649477,0.37623762376237624,0.4838709677419355,0.34532374100719426,0.4120603015075377,0.6514285714285715,sst5_1150_s5a_rerun
SST-5,1150,Full-FineTuning,789,0.4336316703171195,0.4336316703171195,0.4425,0.4425,0.4145569396857435,0.7368750000000001,82.3214099407196,0.5480027198791504,3445.9423828125,124.649477,0.3684210526315789,0.425531914893617,0.3352601156069364,0.39344262295081966,0.6455026455026455,sst5_1150_s5a_rerun
SST-5,1150,Full-FineTuning,1001,0.42853197484880595,0.42853197484880595,0.44,0.44000000000000006,0.41112263634209695,0.7886640625,59.443795919418335,0.5692718029022217,3364.705078125,124.649477,0.4327485380116959,0.3558282208588957,0.3333333333333333,0.36129032258064514,0.6594594594594595,sst5_1150_s5a_rerun
SST-5,1150,Full-FineTuning,2024,0.43143114638395313,0.4314311463839531,0.445,0.445,0.40659655120220717,0.7302890625,80.33966302871704,0.5776796340942383,3211.69482421875,124.649477,0.2830188679245283,0.40236686390532544,0.3804347826086957,0.4171779141104294,0.6741573033707865,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoHSP,45,0.4140070789138674,0.41400707891386745,0.4225,0.42250000000000004,0.38991555540810147,0.7556484375,164.8152620792389,1.2894060611724854,2404.43798828125,1.577605,0.39097744360902253,0.3595505617977528,0.24285714285714285,0.41379310344827586,0.6628571428571428,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoHSP,123,0.4507433853840965,0.4507433853840964,0.465,0.465,0.42465719818845066,0.788359375,132.27207040786743,1.5326476097106934,2192.20166015625,1.577605,0.28,0.4519774011299435,0.3978494623655914,0.4727272727272727,0.6511627906976745,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoHSP,789,0.46879337683044786,0.46879337683044786,0.4875,0.4875,0.437075996943617,0.804546875,105.1668872833252,1.5531816482543945,2219.20166015625,1.577605,0.5352112676056338,0.4975609756097561,0.26548672566371684,0.3717948717948718,0.6739130434782609,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoHSP,1001,0.47444267223714415,0.47444267223714415,0.475,0.475,0.46012644865496877,0.8069062499999999,111.30134439468384,1.126631259918213,2125.26220703125,1.577605,0.44274809160305345,0.3493975903614458,0.42168674698795183,0.47126436781609193,0.6871165644171779,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoHSP,2024,0.45914390484876116,0.4591439048487612,0.465,0.465,0.4462690925534217,0.7783593750000001,132.27217483520508,1.1270651817321777,2013.84765625,1.577605,0.40625,0.4444444444444444,0.3466666666666667,0.4588235294117647,0.6395348837209303,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoMem,45,0.4588579064555751,0.4588579064555751,0.465,0.465,0.44250920503123176,0.7341093750000001,112.91929841041565,0.8355433940887451,2460.51904296875,6.207756,0.3851851851851852,0.33548387096774196,0.40236686390532544,0.48520710059171596,0.686046511627907,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoMem,123,0.5038294268820513,0.5038294268820513,0.505,0.505,0.49896712822840256,0.8095234375,93.49415755271912,0.8726766109466553,2251.34521484375,6.207756,0.5103448275862069,0.4666666666666667,0.47513812154696133,0.45161290322580644,0.6153846153846154,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoMem,789,0.44158052349328825,0.44158052349328825,0.4475,0.44750000000000006,0.42896705921804673,0.7754296875,78.40654253959656,0.8730354309082031,2276.90771484375,6.207756,0.4492753623188406,0.36363636363636365,0.42528735632183906,0.33986928104575165,0.6298342541436464,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoMem,1001,0.4645487601844803,0.4645487601844803,0.4725,0.4725,0.44786273916041675,0.7773203125000001,98.3752851486206,0.8855540752410889,2178.53076171875,6.207756,0.41379310344827586,0.37349397590361444,0.41830065359477125,0.43956043956043955,0.6775956284153005,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Ablation-NoMem,2024,0.47550458881341234,0.4755045888134123,0.4825,0.48250000000000004,0.4606222517080805,0.7753046875,84.11308097839355,0.8699193000793457,2071.3388671875,6.207756,0.46875,0.4385026737967914,0.36,0.44,0.6702702702702703,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Balanced,45,0.4618314000875544,0.46183140008755447,0.46,0.45999999999999996,0.4495003013053335,0.785234375,78.13090395927429,0.8871586322784424,2394.5791015625,0.888581,0.49673202614379086,0.3225806451612903,0.4,0.4842105263157895,0.6056338028169014,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Balanced,123,0.511575801642587,0.511575801642587,0.5125,0.5125,0.49937657228876914,0.8084765625000001,104.07381224632263,0.8135409355163574,2185.4677734375,0.888581,0.5384615384615384,0.46357615894039733,0.3902439024390244,0.4835164835164835,0.6820809248554913,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Balanced,789,0.420702124926589,0.42070212492658904,0.4225,0.4225,0.405635319283875,0.7629609375,92.84998917579651,0.8600783348083496,2213.0302734375,0.888581,0.4098360655737705,0.3888888888888889,0.35978835978835977,0.33136094674556216,0.6136363636363636,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Balanced,1001,0.44192554557124514,0.44192554557124525,0.4525,0.4525,0.42260300844755855,0.763375,102.75307440757751,0.8567373752593994,2118.0283203125,0.888581,0.3333333333333333,0.43157894736842106,0.4,0.3780487804878049,0.6666666666666666,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Balanced,2024,0.44938253988562604,0.4493825398856261,0.465,0.465,0.4258589092318988,0.7804296875000001,89.57469129562378,0.8416118621826172,2004.34814453125,0.888581,0.33613445378151263,0.45226130653266333,0.3283582089552239,0.4523809523809524,0.6777777777777778,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Focal,45,0.4519505052527696,0.45195050525276953,0.45,0.45,0.4397261280121174,0.7977109375,65.89804697036743,1.0018084049224854,2394.57958984375,0.888581,0.4117647058823529,0.32748538011695905,0.43312101910828027,0.4648648648648649,0.6225165562913907,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Focal,123,0.49312320050902725,0.49312320050902736,0.495,0.4950000000000001,0.47593137768049043,0.84034375,95.5910165309906,0.8132264614105225,2185.46826171875,0.888581,0.4444444444444444,0.49,0.42424242424242425,0.54,0.5669291338582677,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Focal,789,0.4650432136670669,0.4650432136670669,0.465,0.465,0.4484007567842668,0.8191796874999999,75.71270656585693,0.8380982875823975,2213.03076171875,0.888581,0.41818181818181815,0.42857142857142855,0.4,0.47706422018348627,0.6013986013986014,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Focal,1001,0.4658302998946766,0.46583029989467656,0.4625,0.4625,0.4556857723577538,0.8132109374999998,115.03736424446106,0.8407247066497803,2118.02880859375,0.888581,0.47692307692307695,0.43478260869565216,0.47513812154696133,0.4423076923076923,0.5,sst5_1150_s5a_rerun
SST-5,1150,LoRA-Focal,2024,0.484191195348486,0.48419119534848604,0.4825,0.48250000000000004,0.47130980905140335,0.8090781249999999,64.50918626785278,0.8127894401550293,2004.3486328125,0.888581,0.5526315789473685,0.3902439024390244,0.4117647058823529,0.54,0.5263157894736842,sst5_1150_s5a_rerun
SST-5,1150,LoRA-LDAM,45,0.38815797633900717,0.38815797633900717,0.4125,0.4125,0.36250088719607687,0.7700234375000001,76.77398657798767,0.801203727722168,2394.57958984375,0.888581,0.28,0.42168674698795183,0.34355828220858897,0.304635761589404,0.5909090909090909,sst5_1150_s5a_rerun
SST-5,1150,LoRA-LDAM,123,0.39400877952429453,0.39400877952429453,0.435,0.43499999999999994,0.3433511278621061,0.8090546875,110.80029582977295,0.8263490200042725,2185.46826171875,0.888581,0.16091954022988506,0.36809815950920244,0.35502958579881655,0.422360248447205,0.6636363636363637,sst5_1150_s5a_rerun
SST-5,1150,LoRA-LDAM,789,0.41926448308040476,0.41926448308040476,0.4425,0.44250000000000006,0.38720981865192705,0.7849375000000001,78.5717704296112,0.8143017292022705,2213.03076171875,0.888581,0.5467625899280576,0.33070866141732286,0.2876712328767123,0.2987012987012987,0.6324786324786325,sst5_1150_s5a_rerun
