Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,Eval-Split
TweetEval,1000,DoRA-Balanced,45,0.7321547607339168,0.7321547607339169,0.7333333333333333,0.7333333333333334,0.723042679252569,0.8966,76.73467469215393,0.47873353958129883,2277.2568359375,0.914691,0.7627118644067796,0.6382978723404256,0.7954545454545454,bestparams_rerun
TweetEval,1000,Full-FineTuning,45,0.7555978489270064,0.7555978489270064,0.7533333333333333,0.7533333333333333,0.7529166428893402,0.8782,87.98905825614929,0.22814679145812988,3078.5234375,124.647939,0.7572815533980582,0.6923076923076923,0.8172043010752689,bestparams_rerun
TweetEval,1000,LoRA-Ablation-NoHSP,45,0.6943893365329251,0.6943893365329251,0.6866666666666666,0.6866666666666666,0.6847191915594482,0.8779333333333333,94.48589706420898,0.45723748207092285,1884.77197265625,1.576067,0.7021276595744681,0.628099173553719,0.7529411764705882,bestparams_rerun
TweetEval,1000,LoRA-Ablation-NoMem,45,0.7160971887517885,0.7160971887517885,0.7133333333333334,0.7133333333333333,0.7113365026271483,0.8798,74.61479210853577,0.33742618560791016,1945.60498046875,6.20468,0.7102803738317757,0.6336633663366337,0.8043478260869565,bestparams_rerun
TweetEval,1000,LoRA-Balanced,45,0.7144525303918092,0.7144525303918092,0.72,0.7200000000000001,0.6982268045639496,0.8944666666666666,54.620741844177246,0.3209378719329834,1876.1953125,0.887043,0.7419354838709677,0.5882352941176471,0.8131868131868132,bestparams_rerun
TweetEval,1000,LoRA-Focal,45,0.6847906642331729,0.6847906642331729,0.7,0.7000000000000001,0.6646865690874645,0.8593333333333333,62.72324776649475,0.33425211906433105,1876.19580078125,0.887043,0.7666666666666667,0.5121951219512195,0.7755102040816326,bestparams_rerun
TweetEval,1000,LoRA-LDAM,45,0.7166743299716969,0.7166743299716969,0.7133333333333334,0.7133333333333334,0.710999056417769,0.8860666666666667,72.32065081596375,0.32169461250305176,1876.19580078125,0.887043,0.7128712871287128,0.6842105263157895,0.7529411764705882,bestparams_rerun
TweetEval,1000,LoRA-LogitAdj,45,0.699081230660178,0.699081230660178,0.7,0.7000000000000001,0.68928442233426,0.8837333333333333,63.01291370391846,0.33547425270080566,1876.19580078125,0.887043,0.7350427350427351,0.5894736842105263,0.7727272727272727,bestparams_rerun
TweetEval,1000,LoRA-Ours,45,0.713962925606269,0.713962925606269,0.7133333333333334,0.7133333333333333,0.7082028210138239,0.8786,97.7816047668457,0.47701549530029297,1957.81005859375,6.893704,0.7339449541284404,0.6122448979591837,0.7956989247311828,bestparams_rerun
TweetEval,1000,LoRA-Vanilla,45,0.7050425818018825,0.7050425818018825,0.7,0.7000000000000001,0.6992372644463477,0.8839333333333332,71.39476227760315,0.3722951412200928,1876.19482421875,0.887043,0.7216494845360825,0.6434782608695652,0.75,bestparams_rerun
TweetEval,1000,DoRA-Balanced,123,0.706984762540318,0.7069847625403181,0.72,0.7200000000000001,0.6926468385809275,0.8676666666666667,92.56135654449463,0.49166035652160645,2670.32421875,0.914691,0.7962962962962963,0.5679012345679012,0.7567567567567568,bestparams_rerun
TweetEval,1000,Full-FineTuning,123,0.686940122583687,0.686940122583687,0.6866666666666666,0.6866666666666665,0.6858095105850717,0.8454,68.411700963974,0.2535567283630371,3452.6689453125,124.647939,0.7128712871287128,0.6336633663366337,0.7142857142857143,bestparams_rerun
TweetEval,1000,LoRA-Ablation-NoHSP,123,0.7134930673950638,0.7134930673950638,0.72,0.7200000000000001,0.704515032899538,0.8674,69.23799872398376,0.531470537185669,2183.18310546875,1.576067,0.8245614035087719,0.6262626262626263,0.6896551724137931,bestparams_rerun
TweetEval,1000,LoRA-Ablation-NoMem,123,0.7434655186352979,0.743465518635298,0.7466666666666667,0.7466666666666667,0.7378853678784599,0.8812000000000001,61.98885893821716,0.3421316146850586,2239.81005859375,6.20468,0.8035714285714286,0.6526315789473685,0.7741935483870968,bestparams_rerun
TweetEval,1000,LoRA-Balanced,123,0.7028724171581314,0.7028724171581314,0.7,0.7000000000000001,0.6994172019901748,0.8558666666666667,73.30481147766113,0.3267507553100586,2177.8251953125,0.887043,0.7346938775510204,0.6486486486486487,0.7252747252747253,bestparams_rerun
TweetEval,1000,LoRA-Focal,123,0.6538667107474447,0.6538667107474447,0.66,0.66,0.6397915988130094,0.8337333333333333,71.45583271980286,0.31642580032348633,2177.82568359375,0.887043,0.7927927927927928,0.5688073394495413,0.6,bestparams_rerun
TweetEval,1000,LoRA-LDAM,123,0.7118780433620934,0.7118780433620934,0.7133333333333334,0.7133333333333333,0.7075642247964441,0.874,74.71669459342957,0.31659841537475586,2177.82568359375,0.887043,0.7272727272727273,0.6122448979591837,0.7961165048543689,bestparams_rerun
TweetEval,1000,LoRA-LogitAdj,123,0.755482986615062,0.755482986615062,0.76,0.7599999999999999,0.7507370532105887,0.8828,72.34753727912903,0.3152477741241455,2177.82568359375,0.887043,0.7884615384615384,0.6666666666666666,0.8113207547169812,bestparams_rerun
TweetEval,1000,LoRA-Ours,123,0.7514472342936852,0.7514472342936852,0.7533333333333333,0.7533333333333333,0.7478778528372159,0.8800666666666667,88.78923273086548,0.39050960540771484,2249.5380859375,6.893704,0.7889908256880734,0.6736842105263158,0.7916666666666666,bestparams_rerun
TweetEval,1000,LoRA-Vanilla,123,0.6988444930973667,0.6988444930973666,0.7,0.7000000000000001,0.6942107563331918,0.8759333333333333,51.22151303291321,0.32117247581481934,2177.82470703125,0.887043,0.7592592592592593,0.6476190476190476,0.6896551724137931,bestparams_rerun
TweetEval,1000,DoRA-Balanced,789,0.7704402958693796,0.7704402958693796,0.7733333333333333,0.7733333333333334,0.7671259587783239,0.9208,92.18613815307617,0.5416133403778076,2739.5087890625,0.914691,0.8256880733944955,0.7021276595744681,0.7835051546391752,bestparams_rerun
TweetEval,1000,Full-FineTuning,789,0.7210149134220799,0.72101491342208,0.72,0.7200000000000001,0.7183294603550255,0.8917333333333333,80.19127917289734,0.22233867645263672,3474.53369140625,124.647939,0.78,0.6407766990291263,0.7422680412371134,bestparams_rerun
TweetEval,1000,LoRA-Ablation-NoHSP,789,0.7672060409924488,0.7672060409924487,0.7733333333333333,0.7733333333333333,0.759981532330564,0.9168666666666666,78.99841904640198,0.5290939807891846,2224.38330078125,1.576067,0.8,0.6666666666666666,0.8349514563106796,bestparams_rerun
TweetEval,1000,LoRA-Ablation-NoMem,789,0.7245839886289325,0.7245839886289325,0.7266666666666667,0.7266666666666667,0.7190109877660545,0.9003333333333333,63.95980739593506,0.34185051918029785,2276.96337890625,6.20468,0.7857142857142857,0.6464646464646465,0.7415730337078652,bestparams_rerun
TweetEval,1000,LoRA-Balanced,789,0.7569307885097359,0.7569307885097358,0.76,0.7600000000000001,0.75130439675031,0.9217333333333334,61.6370370388031,0.31540989875793457,2215.087890625,0.887043,0.7894736842105263,0.6813186813186813,0.8,bestparams_rerun
TweetEval,1000,LoRA-Focal,789,0.7333414313189595,0.7333414313189593,0.74,0.7399999999999999,0.7262420248106382,0.8886,67.12433004379272,0.49229860305786133,2215.08837890625,0.887043,0.8108108108108109,0.6292134831460674,0.76,bestparams_rerun
TweetEval,1000,LoRA-LDAM,789,0.752756295159473,0.7527562951594728,0.7533333333333333,0.7533333333333333,0.7504814686289175,0.9071333333333333,66.1667845249176,0.3281280994415283,2212.27587890625,0.887043,0.7924528301886793,0.6868686868686869,0.7789473684210526,bestparams_rerun
TweetEval,1000,LoRA-LogitAdj,789,0.7240373902883074,0.7240373902883074,0.7266666666666667,0.7266666666666666,0.7153194327985851,0.8952,58.57766270637512,0.31999993324279785,2215.08837890625,0.887043,0.7413793103448276,0.6222222222222222,0.8085106382978723,bestparams_rerun
TweetEval,1000,LoRA-Ours,789,0.7947222068535903,0.7947222068535902,0.8,0.7999999999999999,0.7850559144452615,0.9199999999999999,67.5139536857605,0.38692712783813477,2290.97412109375,6.893704,0.8205128205128205,0.6976744186046512,0.865979381443299,bestparams_rerun
TweetEval,1000,LoRA-Vanilla,789,0.7218803366777923,0.7218803366777923,0.72,0.7200000000000001,0.7175223479221335,0.8873333333333333,66.41094470024109,0.32620954513549805,2215.08740234375,0.887043,0.7572815533980582,0.6727272727272727,0.735632183908046,bestparams_rerun
TweetEval,1000,DoRA-Balanced,1001,0.7158234260004172,0.715823426000417,0.72,0.7200000000000001,0.7094765698392219,0.9048666666666666,69.23476314544678,0.4853849411010742,2368.81005859375,0.914691,0.7964601769911505,0.6464646464646465,0.7045454545454546,bestparams_rerun
TweetEval,1000,Full-FineTuning,1001,0.7247869204396168,0.7247869204396168,0.7266666666666667,0.7266666666666666,0.7207399799658265,0.9024000000000001,65.56799221038818,0.23453450202941895,3136.64501953125,124.647939,0.7920792079207921,0.625,0.7572815533980582,bestparams_rerun
TweetEval,1000,LoRA-Ablation-NoHSP,1001,0.791288358352927,0.7912883583529271,0.7933333333333333,0.7933333333333333,0.7881589345045219,0.9258000000000001,95.91153979301453,0.376711368560791,1942.1064453125,1.576067,0.8333333333333334,0.7157894736842105,0.8247422680412371,bestparams_rerun
TweetEval,1000,LoRA-Ablation-NoMem,1001,0.7303810022699494,0.7303810022699493,0.7266666666666667,0.7266666666666667,0.7173306507855933,0.9043999999999999,74.58618450164795,0.32620882987976074,2001.064453125,6.20468,0.8043478260869565,0.688,0.6987951807228916,bestparams_rerun
