Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,1000,AHSP-Max+Attn,45,0.7216436072887685,0.7216436072887686,0.72,0.7200000000000001,0.7189643806197282,0.9328000000000002,119.08962988853455,1.0144550800323486,2098.64453125,5.71867,0.66,0.6538461538461539,0.7272727272727273,0.8172043010752689,0.76,0.7115384615384616
SMP2020,1000,AHSP-Max+Mean,45,0.7183045926554157,0.7183045926554158,0.7166666666666667,0.7166666666666667,0.7156887177111387,0.9327066666666667,125.04497218132019,1.1201353073120117,2087.56298828125,5.71867,0.66,0.6538461538461539,0.7272727272727273,0.8172043010752689,0.7524752475247525,0.6990291262135923
SMP2020,1000,AHSP-Mean+Attn,45,0.6931215998407997,0.6931215998407997,0.69,0.69,0.6849392872996934,0.9209200000000001,127.43856453895569,1.1415674686431885,2098.76953125,5.71867,0.6206896551724138,0.631578947368421,0.693069306930693,0.8571428571428571,0.7524752475247525,0.6037735849056604
SMP2020,1000,AHSP-OnlyAttn,45,0.7174892599933874,0.7174892599933874,0.7166666666666667,0.7166666666666667,0.710364630872774,0.9172000000000001,135.666437625885,1.0889225006103516,2075.642578125,4.539022,0.6222222222222222,0.6666666666666666,0.7128712871287128,0.8444444444444444,0.7850467289719626,0.6736842105263158
SMP2020,1000,AHSP-OnlyMax,45,0.7091910473153592,0.7091910473153592,0.71,0.71,0.7049199816849611,0.92488,155.0353605747223,1.0631067752838135,2065.81298828125,4.539022,0.6444444444444445,0.6213592233009708,0.7428571428571429,0.8,0.7454545454545455,0.7010309278350515
SMP2020,1000,AHSP-OnlyMean,45,0.7172356225338202,0.7172356225338202,0.7166666666666667,0.7166666666666667,0.710364630872774,0.9168933333333333,132.90480589866638,1.0774331092834473,2067.62353515625,4.539022,0.6222222222222222,0.6724137931034483,0.7128712871287128,0.8444444444444444,0.7777777777777778,0.6736842105263158
SMP2020,1000,No-AHSP,45,0.6966797448100728,0.6966797448100728,0.6933333333333334,0.6933333333333334,0.6896150279548976,0.9211866666666667,145.45685958862305,1.218839406967163,2033.58984375,1.578374,0.6055045871559633,0.625,0.6981132075471698,0.8314606741573034,0.8,0.62
SMP2020,1000,AHSP-Max+Attn,123,0.6833667517101296,0.6833667517101296,0.6866666666666666,0.6866666666666666,0.6713182679296343,0.9004133333333334,136.93121910095215,1.1484718322753906,2098.771484375,5.71867,0.6788990825688074,0.5454545454545454,0.7450980392156863,0.8387096774193549,0.7241379310344828,0.5679012345679012
SMP2020,1000,AHSP-Max+Mean,123,0.6832619561705311,0.6832619561705312,0.6866666666666666,0.6866666666666666,0.6713182679296343,0.9005466666666666,137.22723984718323,1.1273772716522217,2089.83642578125,5.71867,0.6788990825688074,0.5454545454545454,0.7450980392156863,0.8387096774193549,0.7304347826086957,0.5609756097560976
SMP2020,1000,AHSP-Mean+Attn,123,0.6629254331357207,0.6629254331357208,0.66,0.66,0.6536409897526138,0.8975866666666668,145.8459963798523,1.265390396118164,2101.646484375,5.71867,0.6464646464646465,0.5,0.7326732673267327,0.8297872340425532,0.7,0.5686274509803921
