Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4
SST-5,1150,AHSP-Max+Attn,45,0.4400506320192612,0.4400506320192612,0.4525,0.4525,0.41383802330549113,0.7135625,187.17291808128357,1.8034257888793945,2454.7529296875,5.717132,0.5217391304347826,0.28346456692913385,0.3522727272727273,0.36585365853658536,0.676923076923077
SST-5,1150,AHSP-Max+Attn,123,0.4920250750221252,0.49202507502212517,0.5025,0.5025000000000001,0.47904575362815816,0.803109375,166.3850269317627,1.822361707687378,2243.7978515625,5.717132,0.4067796610169492,0.5139664804469274,0.4968152866242038,0.40764331210191085,0.6349206349206349
SST-5,1150,AHSP-Max+Attn,789,0.4341594213012675,0.4341594213012674,0.45,0.45,0.4026907488482963,0.7679765625,118.31162667274475,1.760840654373169,2272.0166015625,5.717132,0.5035971223021583,0.45054945054945056,0.22807017543859648,0.3502824858757062,0.6382978723404256
SST-5,1150,AHSP-Max+Attn,1001,0.49928955161607325,0.49928955161607325,0.5025,0.5025000000000001,0.4905418344563736,0.8188281249999999,144.8928894996643,1.8034679889678955,2176.8271484375,5.717132,0.475,0.4074074074074074,0.46258503401360546,0.46540880503144655,0.686046511627907
SST-5,1150,AHSP-Max+Attn,2024,0.46800094808013054,0.4680009480801306,0.4775,0.47750000000000004,0.4508250512055868,0.7415859375,179.01256322860718,1.147235631942749,2066.138671875,5.717132,0.34782608695652173,0.41711229946524064,0.4276729559748428,0.484472049689441,0.6629213483146067
SST-5,1150,AHSP-Max+Mean,45,0.4474597561944139,0.44745975619441397,0.4525,0.45249999999999996,0.4358667431536714,0.7643828125000001,128.03569722175598,1.7970645427703857,2448.708984375,5.717132,0.4393939393939394,0.39759036144578314,0.375,0.3954802259887006,0.6298342541436464
SST-5,1150,AHSP-Max+Mean,123,0.4680067865326987,0.4680067865326988,0.475,0.475,0.4559290115129449,0.8043671874999999,149.0469937324524,1.7084605693817139,2238.06640625,5.717132,0.4262295081967213,0.4125,0.4808743169398907,0.3870967741935484,0.6333333333333333
SST-5,1150,AHSP-Max+Mean,789,0.4330654849409695,0.4330654849409696,0.45,0.45,0.3988199623623293,0.76778125,115.21417140960693,1.8315935134887695,2265.25390625,5.717132,0.5035971223021583,0.45555555555555555,0.21428571428571427,0.35359116022099446,0.6382978723404256
SST-5,1150,AHSP-Max+Mean,1001,0.49894955300127714,0.49894955300127714,0.5025,0.5025000000000001,0.4891143423776659,0.8182578125,140.09655857086182,1.4638187885284424,2171.876953125,5.717132,0.48148148148148145,0.4,0.4861111111111111,0.4375,0.6896551724137931
SST-5,1150,AHSP-Max+Mean,2024,0.4606252009910289,0.4606252009910288,0.4725,0.4725,0.44057751900130543,0.7737812500000001,139.65118741989136,1.4431805610656738,2058.49365234375,5.717132,0.46715328467153283,0.4482758620689655,0.2814814814814815,0.4431137724550898,0.6631016042780749
SST-5,1150,AHSP-Mean+Attn,45,0.4497516950427547,0.4497516950427547,0.4625,0.4625,0.4263098333852942,0.7779765624999999,102.37315273284912,1.530245065689087,2454.7529296875,5.717132,0.3130434782608696,0.3780487804878049,0.4175824175824176,0.425,0.7150837988826816
